GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",225,"...","  Other information services","Thousands of dollars",5941,11686,14527,23126,24911,33007,25021,30280,30710,34793,38107,31144,26326,25480,33270,33936
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",4714,5245,4079,4910,5752,4553,4691,6572,9758,9338,8122,3852,4160,4972,4330,5102
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",83723,77434,60575,63762,64017,70413,70350,64998,50043,41430,45603,41489,48246,50346,49984,49025
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",281,226,161,189,177,166,127,183,276,36,28,2,18,101,130,150
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",25597,33905,32135,35902,38722,39485,53506,49750,43431,39992,37981,35682,37305,34274,41514,40551
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",170,335,165,207,195,191,188,197,156,165,279,11,10,30,10,14
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",24243,23925,24614,27112,27053,30010,36731,38238,36459,41353,38455,41558,49105,51717,55590,56697
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",240,"...","  Construction","Thousands of dollars",171578,225963,230363,231219,218070,200534,145667,127433,116427,168718,143848,85727,70482,78251,104162,80587
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",250,"...","  Wholesale and transportation industries","Thousands of dollars",142954,147048,149082,170241,185583,229196,238421,235420,194246,180084,179596,181558,190428,177999,197383,212997
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",260,"...","  Retail industries","Thousands of dollars",323869,338595,345005,355053,374423,382465,374314,344454,324054,314412,320333,299843,299376,275031,268008,274036
