4,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
5,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
6,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
32,Maryland,1808,1100,445,427,1878,1419,542,426,8288,2611,Maryland,1227,661,1393,752,4431,1437,21198,4352,8603,2099,Maryland,3592,1543,1424,840,512,653,3890,1858,1193,815,Maryland,332,382,400,332,1244,980,1148,691,1597,1165,Maryland,599001,20318,3705,1185,2404,1067,1876,1286,1119,1081,Maryland,1365,902,0,282,709,483,989,578,473,424,Maryland,6125,2038,1661,1882,11334,2270,4812,1666,86,143,Maryland,4063,1257,329,336,415,491,10314,1684,2157,2103,Maryland,275,277,1925,938,0,282,2297,1074,7320,2197,Maryland,515,445,183,256,27107,4691,2071,1686,3144,1033,Maryland,1511,951,202,265
33,Massachusetts,244,241,642,708,649,497,94,112,7511,2492,Massachusetts,658,393,8274,3187,127,160,642,377,7467,1897,Massachusetts,1459,893,230,258,36,60,2449,805,1165,826,Massachusetts,0,282,222,366,454,371,744,603,7547,3814,Massachusetts,3360,1595,680113,24371,2000,1059,811,729,98,115,Massachusetts,461,393,464,439,55,91,862,733,11084,3216,Massachusetts,4143,1269,499,328,14260,2759,2511,1254,711,969,Massachusetts,1928,1012,98,113,966,711,3071,1409,3445,2358,Massachusetts,7649,2259,673,565,166,216,158,155,3318,1253,Massachusetts,641,563,1748,807,2262,1161,1642,1192,0,282,Massachusetts,360,293,54,92
34,Michigan,1317,848,1791,1138,2241,742,733,563,7631,1820,Michigan,2289,1352,1064,634,105,122,382,362,12757,2670,Michigan,3091,1176,421,374,619,737,9035,1875,9045,2693,Michigan,1306,695,897,520,1654,776,2345,980,90,103,Michigan,1692,859,876,410,1217671,32147,2019,926,1679,929,Michigan,3047,1010,111,122,354,283,2168,964,99,110,Michigan,743,404,1003,1107,4092,1306,3864,1423,24,41,Michigan,12612,2808,963,773,2742,2817,2799,1164,545,498,Michigan,174,286,1769,852,174,223,2994,1078,6312,1826,Michigan,567,474,327,295,3867,1886,2171,1133,975,971,Michigan,4400,1307,213,216
35,Minnesota,423,352,1329,1153,2287,900,272,289,9128,2541,Minnesota,2894,1163,905,753,0,209,153,188,3033,1023,Minnesota,1112,608,230,360,459,417,11199,3435,1967,893,Minnesota,7175,2266,630,398,199,179,1024,953,0,209,Minnesota,486,433,546,343,4034,1197,587718,17764,692,544,Minnesota,2190,1136,588,437,1135,718,518,399,19,31,Minnesota,494,379,0,209,2671,1112,1902,1363,6874,1579,Minnesota,1197,884,1310,898,800,462,1123,626,0,209,Minnesota,85,101,285,355,4100,1422,1735,1644,3476,1410,Minnesota,291,235,0,209,933,522,1926,1226,396,540,Minnesota,15429,3032,515,463
36,Mississippi,4830,1405,374,353,529,554,1875,896,4724,2207,Mississippi,1090,677,0,288,215,365,142,188,3889,1615,Mississippi,4699,1986,318,327,0,288,2871,1103,1325,813,Mississippi,1141,915,254,299,777,622,13754,3491,315,389,Mississippi,1065,810,94,160,1661,931,751,754,373661,17310,Mississippi,1773,1132,497,659,69,107,208,286,563,855,Mississippi,280,273,68,116,2229,1467,1568,1048,85,155,Mississippi,738,523,1062,727,217,218,427,488,567,611,Mississippi,292,508,838,731,0,288,10285,3497,6547,2223,Mississippi,442,426,0,288,1863,1058,193,227,126,221,Mississippi,1972,1512,0,288
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Missouri,908,550,350,384,4215,1847,8218,2622,11955,2905,Missouri,3279,1021,555,542,0,256,99,168,5232,1362,Missouri,1945,819,289,475,185,180,16388,3025,3390,1782,Missouri,4272,1400,20539,3895,1254,730,3554,1765,277,251,Missouri,955,665,408,333,2999,1206,2356,1216,1162,689,Missouri,765280,21494,389,447,3843,1408,2103,1146,395,498,Missouri,224,213,291,208,1849,936,2448,976,52,85,Missouri,3077,1240,6787,2602,2052,1344,1866,801,0,256,Missouri,276,404,1360,754,527,608,3192,1298,9430,2999,Missouri,603,488,291,467,1246,626,3951,2055,426,479,Missouri,1933,1150,104,120
39,Montana,299,410,422,393,1102,703,159,249,6045,2473,Montana,2219,1310,488,748,40,65,0,231,1342,960,Montana,315,262,151,159,1030,679,805,505,0,231,Montana,571,614,516,623,33,60,238,235,0,231,Montana,0,231,90,121,728,725,713,588,0,231,Montana,251,237,128284,8542,242,279,726,613,147,178,Montana,0,231,544,688,367,335,138,139,626,403,Montana,90,154,964,1197,2778,1644,891,701,0,231,Montana,46,79,489,580,462,381,146,249,866,580,Montana,719,583,109,164,362,328,5054,2037,23,38,Montana,846,656,1722,1021
40,Nebraska,42,71,91,155,1190,658,35,42,3710,1659,Nebraska,2710,892,419,485,54,92,0,216,2075,992,Nebraska,256,361,255,443,387,463,968,548,1181,700,Nebraska,6225,2037,2373,1223,993,685,306,272,155,259,Nebraska,12,21,552,480,897,664,869,711,0,216,Nebraska,1789,762,117,194,220401,10489,490,348,0,216,Nebraska,279,319,570,626,900,522,430,368,206,217,Nebraska,237,185,1005,518,221,191,498,422,85,102,Nebraska,0,216,86,137,1879,1101,543,693,2802,1112,Nebraska,1224,921,0,216,698,623,923,629,65,110,Nebraska,664,415,631,369
41,Nevada,154,186,818,838,6036,1689,334,319,56135,6536,Nevada,2054,1563,631,646,87,155,752,600,3846,1813,Nevada,1142,659,1674,762,1478,776,2593,1520,1919,1076,Nevada,210,213,499,411,606,442,715,748,155,255,Nevada,988,1021,481,529,2936,1860,1858,912,163,159,Nevada,358,278,1321,691,287,281,356296,19268,220,257,Nevada,1052,969,1484,705,4132,1550,1563,910,148,168,Nevada,4286,1895,487,434,3795,1570,2624,1534,49,80,Nevada,0,297,645,507,67,110,401,459,6054,1953,Nevada,6720,2604,85,140,704,515,3659,1230,0,297,Nevada,1438,787,163,270
42,New Hampshire,27,46,783,837,394,327,0,253,1366,688,New Hampshire,27,48,1277,1056,0,253,0,253,1225,687,New Hampshire,1010,836,310,434,0,253,461,418,233,336,New Hampshire,0,253,362,580,255,384,182,300,3732,1821,New Hampshire,177,185,17908,3690,55,88,42,70,0,253,New Hampshire,312,401,1052,986,0,253,0,253,119129,8699,New Hampshire,1299,1311,740,788,1822,767,308,369,0,253,New Hampshire,869,973,140,164,407,467,209,216,0,253,New Hampshire,503,473,1212,1383,0,253,27,45,1552,1309,New Hampshire,272,430,4572,2943,1526,1048,253,338,0,253,New Hampshire,108,129,176,278
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
45,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
46,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,New Jersey,367,369,900,654,2018,1524,37,60,7809,2558,New Jersey,1161,705,4694,2252,1300,740,801,619,14423,2588,New Jersey,3543,1502,158,159,44,74,2890,1112,558,393,New Jersey,73,118,91,110,813,1000,1535,852,275,365,New Jersey,5583,1785,4177,980,2743,1938,2334,2565,461,502,New Jersey,715,508,38,69,0,278,530,568,955,663,New Jersey,750278,24504,518,402,62314,9666,2582,1281,139,198,New Jersey,1528,676,584,685,523,576,25122,3515,4386,2282,New Jersey,3253,2220,2464,1902,56,94,633,540,4415,1912,New Jersey,538,649,48,82,3878,1323,889,865,149,188,New Jersey,56,97,0,278
49,New Mexico,593,817,617,747,7790,2638,1540,1142,12620,2713,New Mexico,7288,3680,462,459,0,282,0,282,3945,1691,New Mexico,733,440,791,587,187,184,623,444,727,584,New Mexico,196,185,1076,1004,27,47,62,78,117,195,New Mexico,621,431,342,340,983,727,581,371,221,230,New Mexico,466,452,230,189,415,537,1905,1399,0,282,New Mexico,570,501,251168,16414,2133,1210,1568,1446,245,354,New Mexico,1648,804,1804,906,870,458,748,699,0,282,New Mexico,0,282,22,47,492,584,1075,992,15835,3266,New Mexico,861,564,175,246,666,528,1987,1083,466,567,New Mexico,285,251,0,282
50,New York,1486,780,654,518,3394,1089,758,661,18568,2891,New York,3101,1655,9239,2033,375,318,1953,705,25513,3685,New York,8319,2932,383,351,416,526,7915,1845,2205,1169,New York,2314,1513,295,320,1028,641,2338,1106,1533,691,New York,5235,1677,15154,2587,5680,2752,2401,1548,716,533,New York,2158,848,393,413,317,243,1616,966,1183,747,New York,24790,3340,1082,529,1754183,43575,9687,2551,314,320,New York,8392,3491,1201,1037,1467,1102,17765,2922,7311,3047,New York,2010,1006,4285,1603,0,274,1820,788,6372,1763,New York,2330,1511,2117,1045,9177,2490,3864,1522,128,151,New York,2573,1432,51,85
51,North Carolina,3858,1578,854,551,2705,1380,916,572,14989,3473,North Carolina,2306,1001,4292,1730,0,284,566,380,29017,4272,North Carolina,17003,3723,1404,1296,49,77,4651,1640,3973,1881,North Carolina,633,515,1129,523,3129,1512,2240,984,531,444,North Carolina,9804,2812,6865,2176,2628,981,2090,967,1946,1346,North Carolina,3370,1253,93,156,365,300,320,315,1396,1166,North Carolina,11678,3573,718,750,29123,5208,1102686,30199,79,141,North Carolina,9490,2393,1164,678,864,729,10842,2728,331,321,North Carolina,1296,782,20858,3568,189,228,5680,1792,12646,3256,North Carolina,1769,1162,516,409,27610,4493,1630,791,2144,881,North Carolina,1816,1091,1139,787
52,North Dakota,0,203,70,76,709,418,62,99,1435,628,North Dakota,570,446,382,597,0,203,0,203,872,514,North Dakota,0,203,0,203,62,106,361,331,275,456,North Dakota,361,400,577,640,0,203,481,506,0,203,North Dakota,76,127,45,78,545,482,5751,1386,58,91,North Dakota,272,391,504,332,89,86,128,126,0,203,North Dakota,0,203,207,241,46,80,52,86,69702,5519,North Dakota,179,254,0,203,416,306,175,236,0,203,North Dakota,0,203,39,70,811,500,129,151,1207,729,North Dakota,97,156,0,203,91,121,855,582,0,203,North Dakota,605,564,0,203
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Ohio,2469,1533,212,160,3310,1058,639,445,11049,2174,Ohio,3466,1429,1506,865,1022,1260,453,411,16400,3286,Ohio,5584,2572,39,70,49,84,8410,2799,9822,2139,Ohio,1483,698,1135,764,11898,3449,1128,613,236,237,Ohio,4371,1986,2514,1034,13841,3389,890,631,550,557,Ohio,2067,953,100,117,876,587,2932,1739,355,203,Ohio,1924,840,316,277,7317,1821,5129,1783,521,460,Ohio,1457747,35778,581,358,901,584,12360,2500,1004,869,Ohio,370,436,4296,1637,67,88,3429,1115,7574,1897,Ohio,2343,1322,181,179,5088,2322,2059,1213,8291,2179,Ohio,2250,1428,311,314
55,Oklahoma,877,652,360,311,2945,1160,6745,2329,8520,2162,Oklahoma,3287,1545,193,195,0,247,131,223,6340,3466,Oklahoma,3580,1763,695,723,1044,968,1612,790,795,588,Oklahoma,1140,750,5277,1520,928,670,2258,1005,38,62,Oklahoma,1666,1302,478,476,2661,1592,663,528,681,535,Oklahoma,4859,2297,423,460,1021,587,816,551,59,89,Oklahoma,649,591,1758,1597,2259,1570,999,645,351,523,Oklahoma,1474,957,520901,19712,690,373,1109,687,208,281,Oklahoma,86,102,1257,994,763,563,3179,1805,26017,4146,Oklahoma,977,846,14,26,1751,969,1557,849,0,247,Oklahoma,135,158,2114,1163
56,Oregon,1223,1136,2137,1000,5775,1790,1422,1287,56379,7430,Oregon,4905,1934,374,470,0,270,1064,1227,2191,1156,Oregon,1009,643,979,1040,7633,2779,1803,1129,1279,823,Oregon,1100,811,168,219,732,592,218,235,639,800,Oregon,1299,914,180,228,1285,842,704,609,364,432,Oregon,2003,1067,2825,1710,694,490,2483,1014,216,347,Oregon,309,262,189,152,1794,827,293,285,417,506,Oregon,1559,1444,1466,992,558403,18523,1388,900,0,270,Oregon,56,94,1430,1735,519,570,794,717,3759,1843,Oregon,2534,990,859,690,2269,1891,23320,4570,50,65,Oregon,903,633,228,285
57,Pennsylvania,950,567,934,480,2957,1416,735,525,11802,3771,Pennsylvania,1670,823,3826,1903,7211,2864,1550,649,14676,2768,Pennsylvania,3998,1508,240,214,126,159,4920,2047,2069,1067,Pennsylvania,318,210,1213,1088,1188,725,1904,823,1186,714,Pennsylvania,18763,2773,4967,1902,3204,1334,750,580,454,523,Pennsylvania,2128,1857,271,218,951,762,252,242,653,528,Pennsylvania,36878,5699,872,559,37224,6753,9718,4589,404,479,Pennsylvania,9067,1997,343,294,879,535,1164600,29654,6488,2048,Pennsylvania,442,384,2968,1094,94,121,1805,1148,5343,1612,Pennsylvania,1510,1906,536,526,11232,2720,1250,680,4083,1685,Pennsylvania,545,361,218,245
58,Puerto Rico,88,100,0,280,85,149,0,280,1296,927,Puerto Rico,358,499,877,611,558,653,0,280,7410,2641,Puerto Rico,1284,1373,76,123,298,492,860,667,113,202,Puerto Rico,0,280,0,280,0,280,40,65,0,280,Puerto Rico,170,158,2494,1112,128,211,113,196,0,280,Puerto Rico,0,280,0,280,0,280,135,127,0,280,Puerto Rico,3679,1614,189,246,8680,2342,0,280,0,280,Puerto Rico,1252,992,0,280,0,280,2126,904,289264,12432,Puerto Rico,35,59,253,290,0,280,0,280,1653,1044,Puerto Rico,0,280,0,280,353,281,0,280,0,280,Puerto Rico,161,270,0,280
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Rhode Island,88,147,87,146,438,507,0,284,1856,1056,Rhode Island,317,279,1247,634,0,284,60,98,1038,629,Rhode Island,229,273,303,517,0,284,201,339,127,215,Rhode Island,0,284,77,132,0,284,132,217,860,723,Rhode Island,196,322,7302,2296,114,186,0,284,0,284,Rhode Island,107,182,0,284,0,284,693,702,659,364,Rhode Island,1624,1037,0,284,2426,1167,173,166,0,284,Rhode Island,176,223,0,284,0,284,224,295,0,284,Rhode Island,88817,8246,607,526,0,284,304,369,474,402,Rhode Island,40,65,0,284,1224,982,306,337,89,146,Rhode Island,0,284,98,160
61,South Carolina,2254,1256,203,202,1279,868,199,188,3554,1387,South Carolina,1025,550,1488,684,10,20,228,289,13403,3652,South Carolina,16001,4103,138,232,333,309,3292,1669,1896,1172,South Carolina,286,364,184,244,1981,1027,3229,1993,97,127,South Carolina,6723,2910,3883,1790,1898,848,206,329,648,523,South Carolina,2190,1869,0,286,271,351,795,786,545,571,South Carolina,4763,1575,967,922,9171,2666,23849,3777,0,286,South Carolina,5966,2113,1287,811,344,569,4467,1551,209,360,South Carolina,413,379,471690,20791,147,239,3825,1407,4963,1956,South Carolina,543,508,2426,2610,6522,2600,2314,1549,326,269,South Carolina,497,377,287,356
62,South Dakota,0,219,303,372,612,380,0,219,1055,561,South Dakota,1507,924,0,219,0,219,403,591,668,778,South Dakota,149,156,374,473,163,188,460,412,181,326,South Dakota,3465,1381,249,245,245,393,0,219,0,219,South Dakota,411,467,137,201,502,604,3291,1381,65,111,South Dakota,109,73,620,484,2018,930,168,253,0,219,South Dakota,0,219,69,128,255,258,125,109,1140,548,South Dakota,172,211,84,112,1108,1204,221,216,0,219,South Dakota,0,219,0,219,94103,6534,595,478,1793,1179,South Dakota,165,210,0,219,61,85,918,1011,202,315,South Dakota,440,379,964,919
63,Tennessee,8546,2232,595,553,874,529,5197,2099,12254,2890,Tennessee,1494,638,690,564,436,313,135,174,18963,4417,Tennessee,15621,3115,447,452,131,163,6126,2138,5930,2680,Tennessee,1179,934,602,536,9462,2272,8143,3646,304,339,Tennessee,3095,1822,1240,919,5602,2184,488,567,11957,3887,Tennessee,2492,976,64,106,64,82,1061,609,0,282,Tennessee,1445,939,298,303,4738,1733,8051,2386,0,282,Tennessee,6188,1917,2997,1557,1278,943,4859,2299,173,212,Tennessee,293,302,3481,1691,326,287,771554,26501,11770,3269,Tennessee,1044,809,258,298,7697,1944,1978,1121,1603,683,Tennessee,2681,1597,453,436
64,Texas,7042,2767,3656,1868,12180,3015,9653,2551,74777,8833,Texas,15769,4018,2210,960,817,634,1517,762,31340,5901,Texas,17285,3504,3827,1643,1430,866,15793,3305,5539,1813,Texas,4529,1850,11366,3149,4434,2046,71950,8818,1790,1240,Texas,6807,2116,4305,2020,17181,6793,4258,1597,6721,2278,Texas,10593,2544,1121,858,2018,896,3933,1703,393,341,Texas,6490,2758,13154,3013,13267,4125,13692,2801,698,529,Texas,11016,3254,22611,3021,5912,2364,11514,3947,1670,931,Texas,1920,1520,4390,1988,797,544,6533,1906,3488485,67968,Texas,6393,2966,482,494,11987,3968,10823,3399,684,571,Texas,5054,1984,1600,765
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Utah,0,258,500,420,6222,2057,77,127,17879,3966,Utah,4881,1476,385,322,0,258,283,304,3458,1392,Utah,876,629,285,201,5086,1650,1803,1017,731,824,Utah,201,264,606,516,279,225,213,181,228,264,Utah,116,188,451,389,719,528,886,521,495,614,Utah,1040,772,1145,585,390,238,7429,2463,684,816,Utah,812,459,1244,768,1099,612,1270,1095,150,153,Utah,1184,643,210,339,3147,1132,493,453,199,235,Utah,234,312,54,92,501,452,346,289,3349,1303,Utah,382590,20166,740,581,788,436,3773,1550,362,381,Utah,764,1237,746,526
67,Vermont,0,211,15,25,92,151,0,211,290,246,Vermont,422,286,1936,648,0,211,132,218,1382,632,Vermont,0,211,304,353,0,211,448,444,290,335,Vermont,0,211,0,211,12,21,118,137,250,214,Vermont,231,300,2317,805,222,317,82,100,0,211,Vermont,0,211,121,193,0,211,0,211,5066,1836,Vermont,411,302,50,90,2440,1155,309,232,0,211,Vermont,107,135,187,305,25,43,976,693,0,211,Vermont,90,100,266,238,0,211,0,211,528,418,Vermont,0,211,64889,5695,409,365,215,232,98,115,Vermont,0,211,19,35
68,Virginia,2150,917,1911,1066,2251,976,387,286,16065,3633,Virginia,3598,1675,3580,1554,439,340,6212,1608,18517,3002,Virginia,9163,2608,4374,1947,1419,1008,6297,2084,1889,946,Virginia,1378,1318,1605,1224,3657,1540,2451,1258,2397,2114,Virginia,25815,4520,4257,1375,3703,1748,2396,1286,2271,1252,Virginia,3166,1467,149,146,732,633,1147,962,1165,645,Virginia,6788,1524,763,530,16055,3586,16680,2787,52,88,Virginia,8248,2604,2164,1371,1613,926,10394,2573,825,480,Virginia,1008,772,6470,1722,194,234,7476,2747,11762,2363,Virginia,3737,2301,1293,1176,865315,23781,4554,1739,7597,2235,Virginia,1131,656,193,292
69,Washington,184,165,7156,2267,12125,3711,681,554,47720,6097,Washington,6464,2509,952,523,329,367,432,377,6468,1959,Washington,3057,1184,5061,2249,10244,2437,6796,3483,993,567,Washington,3338,3795,2045,1099,1513,859,1795,809,511,486,Washington,1426,837,4260,2642,2174,1076,2443,1103,940,1244,Washington,1617,716,4880,1723,1201,998,3716,1633,583,524,Washington,2556,1922,1500,592,3799,1280,2776,1150,366,262,Washington,3136,1644,1878,1396,25775,3829,2073,935,565,690,Washington,69,119,3348,2166,288,319,1622,1204,9550,2305,Washington,5211,1659,149,189,3655,1247,953030,27327,398,452,Washington,2176,1105,442,394
70,West Virginia,347,399,1164,1367,399,359,56,99,369,316,West Virginia,187,216,0,266,263,271,0,266,3691,1704,West Virginia,2500,1524,13,18,65,114,695,619,261,239,West Virginia,0,266,106,145,999,670,250,320,18,31,West Virginia,4027,1480,352,316,969,538,0,266,413,461,West Virginia,59,110,188,259,0,266,62,102,0,266,West Virginia,727,526,163,358,637,654,2679,1103,33,65,West Virginia,9176,2798,133,137,172,187,5523,1695,0,266,West Virginia,373,617,1114,747,0,266,1051,555,1345,698,West Virginia,309,341,0,266,5535,1795,0,266,159425,9930,West Virginia,276,405,57,99
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Wisconsin,2275,2656,136,137,2197,942,992,762,6743,1753,Wisconsin,2799,1201,522,554,0,211,116,136,4220,1589,Wisconsin,978,634,489,405,48,81,24755,3589,2878,1315,Wisconsin,1550,724,725,647,545,437,1168,730,44,58,Wisconsin,471,337,700,434,5607,2092,15188,2586,541,333,Wisconsin,1508,755,231,210,745,595,2092,1763,157,261,Wisconsin,438,267,119,135,1545,732,1509,717,39,66,Wisconsin,1615,723,850,635,1155,604,1853,1223,58,97,Wisconsin,116,162,0,211,784,506,523,311,3388,1204,Wisconsin,266,216,169,276,1576,958,2390,1532,242,278,Wisconsin,672491,19133,536,560
73,Wyoming,268,274,146,210,1229,1144,178,295,3353,1673,Wyoming,4123,1685,0,258,0,258,0,258,555,584,Wyoming,0,258,171,296,1153,833,225,279,91,119,Wyoming,541,384,299,259,37,64,256,315,0,258,Wyoming,144,224,114,146,207,245,219,250,58,108,Wyoming,443,546,1890,1006,808,497,1207,917,0,258,Wyoming,267,296,404,453,71,120,51,65,94,153,Wyoming,142,174,1398,1394,1141,607,91,105,0,258,Wyoming,0,258,0,258,1200,831,37,69,863,493,Wyoming,1530,1121,0,258,445,514,781,561,49,83,Wyoming,35,66,61851,6023
74,Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,
76,"Source: U.S. Census Bureau, 2005 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2005 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2005 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2005 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2005 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2005 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2005 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2005 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2005 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2005 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2005 American Community Survey",,,,
