4,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
5,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
6,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
10,Arizona,1427,784,1836,1443,917186,26917,1845,948,94296,7715,Arizona,11512,2930,1809,1168,240,242,1182,1200,7184,2502,Arizona,630,473,1216,639,2940,1674,11523,2628,3724,1803,Arizona,1551,836,1917,1234,949,783,1577,935,401,352,Arizona,3119,1493,2213,923,8529,2780,4569,1381,1323,826,Arizona,2364,1070,1689,751,2716,1352,10080,2370,809,758,Arizona,4790,2076,11561,3394,6756,1767,2935,1301,1314,805,Arizona,5640,2072,2264,726,5572,1639,5993,2047,0,291,Arizona,594,570,1474,1350,841,496,4889,2109,17452,3996,Arizona,7086,2423,315,319,4196,2459,10335,2314,527,468,Arizona,7798,2272,1458,811
11,Arkansas,1894,1228,660,504,1266,617,390364,17198,6167,2263,Arkansas,1999,1159,66,109,0,260,0,260,5223,2061,Arkansas,1082,794,522,498,171,175,3618,1466,1417,1070,Arkansas,394,312,1269,823,639,408,6515,2560,16,31,Arkansas,43,88,1421,934,973,543,496,472,4238,1674,Arkansas,9701,2954,73,83,590,666,431,323,0,260,Arkansas,483,693,1108,916,957,652,838,447,136,233,Arkansas,794,515,8670,2413,788,609,695,605,33,59,Arkansas,0,260,1770,1195,337,383,5090,1778,19937,4429,Arkansas,293,475,0,260,1355,997,1062,1260,59,77,Arkansas,1542,1232,41,71
12,California,4375,3603,5274,1769,28156,4098,2481,1232,4904586,75490,California,14321,3059,7248,2753,807,706,3472,1434,25252,4332,California,9788,3362,10706,2438,5123,2507,15848,2991,5611,2010,California,4766,1573,4922,1746,2829,1881,7383,2938,1056,620,California,6634,2903,11032,2193,10073,3035,6502,1663,2660,1180,California,8504,2479,2605,1189,3463,1581,28299,5628,1109,510,California,11816,3220,6141,2092,26079,5947,16462,6076,1449,933,California,7969,2137,3153,1369,17194,3471,9637,2156,494,380,California,1714,1002,2311,1033,1378,1708,3790,1441,36030,6084,California,11421,2821,656,390,15780,3684,29727,5382,329,280,California,3958,1599,1425,1003
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Colorado,1495,1016,2392,1240,7018,1957,1218,795,25350,5016,Colorado,706496,21482,565,507,123,197,555,482,8463,3063,Colorado,3072,1475,494,320,1383,678,3889,1454,2503,1330,Colorado,1610,661,4531,2001,1451,856,1681,918,655,501,Colorado,1969,1147,2089,1011,1163,730,3183,1734,1304,870,Colorado,3409,1526,2695,1554,5204,1888,3731,1326,1508,842,Colorado,757,521,6547,2338,6458,2194,4607,2295,1074,579,Colorado,2870,1027,2481,1157,2478,1209,4581,1570,58,93,Colorado,368,443,1023,527,1978,1654,2384,1012,14916,3144,Colorado,5138,1960,127,211,3260,1481,3650,1515,539,743,Colorado,3498,1160,5690,2494
15,Connecticut,520,502,310,320,49,82,0,274,3979,1650,Connecticut,887,797,299172,14268,186,315,1502,1977,5265,1796,Connecticut,752,578,363,336,0,274,1841,1228,395,453,Connecticut,75,123,655,776,326,285,94,111,541,375,Connecticut,2233,1252,7492,1818,1332,855,52,84,55,92,Connecticut,341,312,143,242,109,180,387,343,1654,859,Connecticut,3485,1505,0,274,26319,4870,1735,887,0,274,Connecticut,1463,741,0,274,200,157,3278,1458,791,736,Connecticut,3646,1890,477,399,0,274,366,439,1612,891,Connecticut,42,72,2016,1444,1656,766,634,502,140,179,Connecticut,50,85,0,274
16,Delaware,546,921,337,381,216,254,344,563,933,661,Delaware,211,286,13,23,90435,7711,0,274,1984,1455,Delaware,600,430,0,274,222,361,688,699,21,35,Delaware,0,274,82,135,157,244,23,40,0,274,Delaware,7714,2270,320,329,622,569,89,155,0,274,Delaware,105,118,0,274,44,76,0,274,0,274,Delaware,2723,1043,0,274,4544,2378,380,387,0,274,Delaware,450,351,163,274,198,300,8637,2501,527,414,Delaware,487,630,0,274,0,274,513,847,184,212,Delaware,140,242,0,274,1056,588,0,274,254,326,Delaware,0,274,0,274
17,District of Columbia ,0,286,0,286,490,573,0,286,2348,1010,District of Columbia ,269,250,261,209,357,346,50118,5594,1103,461,District of Columbia ,319,209,56,92,0,286,1519,812,192,141,District of Columbia ,0,286,0,286,32,55,271,330,174,206,District of Columbia ,10087,3063,2579,1021,122,123,363,257,0,286,District of Columbia ,68,113,0,286,186,191,0,286,66,112,District of Columbia ,954,551,212,248,2801,1081,2156,1278,0,286,District of Columbia ,216,204,127,152,176,174,898,517,179,232,District of Columbia ,55,92,397,442,0,286,367,388,730,503,District of Columbia ,796,1029,27,46,5654,1586,443,354,389,376,District of Columbia ,49,82,0,286
18,Florida,10559,2597,2932,1390,5962,2466,3300,1985,29152,4799,Florida,8002,1929,12609,2823,1441,734,1920,1122,2415250,47844,Florida,42557,6015,2055,1135,608,416,18400,3319,17746,3272,Florida,3725,1506,1252,590,7941,1921,9324,3100,5537,2190,Florida,19832,4979,24999,5298,24999,4538,11224,3886,5514,2215,Florida,7286,1907,1232,890,1263,639,2840,1241,7186,2444,Florida,34417,5284,1404,912,98535,10164,29292,4859,439,384,Florida,39164,6046,3604,1445,997,560,28311,5105,11865,3811,Florida,6904,2538,10906,2427,468,366,12140,3658,25297,4587,Florida,1605,998,1341,610,26671,4434,5337,2529,3771,1782,Florida,9295,3054,873,685
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Georgia,22111,5035,2570,1265,3395,1828,1178,797,20673,5794,Georgia,3488,1521,3680,2795,650,556,420,494,54126,7085,Georgia,1227339,32789,861,577,698,482,5590,1963,6990,3954,Georgia,683,916,2175,1166,5952,2601,9398,3563,255,202,Georgia,3909,1578,5164,2660,6548,2407,1659,1430,5589,1786,Georgia,2268,1167,256,330,1188,990,2669,1659,505,402,Georgia,5908,1894,469,450,31412,7094,15529,2944,456,540,Georgia,7362,1964,2321,1341,1709,1107,6024,2421,595,474,Georgia,671,453,12609,3109,79,98,16688,4121,14605,3237,Georgia,1343,874,506,553,9697,2603,7117,5307,881,606,Georgia,3597,1840,0,297
21,Hawaii,1464,1370,125,156,1409,1144,207,266,15261,3587,Hawaii,1968,1058,214,246,0,264,56,95,1260,733,Hawaii,411,444,116724,8158,1083,867,588,327,51,84,Hawaii,470,430,320,427,603,650,1038,852,63,105,Hawaii,941,612,240,171,1051,867,479,401,748,949,Hawaii,31,51,33,59,569,494,1305,712,75,125,Hawaii,1697,1731,116,174,1748,1082,655,396,51,84,Hawaii,306,269,0,264,1392,745,351,262,199,292,Hawaii,85,105,472,413,44,74,785,762,3644,1696,Hawaii,1188,963,0,264,2111,1065,2074,985,0,264,Hawaii,168,214,113,141
