,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114
11,Arkansas,2065,1351,410,506,930,637,425248,16470,7139,1890,Arkansas,1148,807,508,572,0,267,72,118,2923,984,Arkansas,1023,548,149,269,183,177,2333,921,1176,902,Arkansas,249,223,2085,1005,858,720,5563,2238,0,267,Arkansas,855,951,382,380,1771,1058,1336,970,2948,1117,Arkansas,6958,1880,0,267,555,657,2131,1932,1320,1546,Arkansas,332,346,1187,1216,1206,909,1057,639,59,97,Arkansas,979,688,5991,1835,250,210,339,267,553,637,Arkansas,0,267,1022,814,113,185,5108,1486,18459,3858,Arkansas,1343,944,0,267,406,496,1908,1424,222,330,Arkansas,1599,1164,498,559
12,California,2527,1264,5508,1924,33629,6142,4098,1260,4819935,72015,California,23652,4040,6930,2395,324,257,1853,693,28552,5121,California,13499,2855,15352,4254,5052,2295,24219,4666,7152,1926,California,2962,1141,2793,1230,3871,1389,6176,2182,1374,822,California,8522,2262,12018,2147,15046,4406,9692,2958,4442,2329,California,9661,2974,2584,1014,2700,1004,29730,4634,1190,731,California,9919,2355,5536,1651,25255,4186,12337,2734,242,184,California,10141,2117,4443,1739,17046,2640,11695,2318,599,493,California,1612,820,3275,1217,672,405,8140,2547,36391,4262,California,12377,3419,250,233,14966,3603,24449,3719,265,262,California,5551,1496,1388,996
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Colorado,1958,1499,1905,1238,10752,2778,2261,1145,29278,4214,Colorado,709160,20730,3270,2090,212,252,565,480,8594,3109,Colorado,3934,1593,1885,1125,1142,557,5902,1767,2821,1233,Colorado,1309,714,5977,1844,1558,1057,3012,1992,1177,850,Colorado,3452,1507,4013,1730,2417,928,2965,1212,181,195,Colorado,6505,2144,1398,720,4892,1972,4858,1748,391,297,Colorado,2136,1370,4450,1655,4380,1753,2612,1169,1025,558,Colorado,5159,2679,3974,1969,5550,2858,2036,902,0,275,Colorado,1295,1345,576,434,793,473,2415,1577,23618,4645,Colorado,4529,1521,426,389,4864,1652,3639,1089,369,456,Colorado,3007,1521,2446,870
15,Connecticut,205,250,244,304,701,361,219,218,4376,1457,Connecticut,1156,435,334089,14864,148,247,439,335,7760,2433,Connecticut,652,354,235,210,265,334,1897,744,953,721,Connecticut,508,513,0,273,405,516,236,226,995,474,Connecticut,2139,991,8705,1884,722,470,313,216,0,273,Connecticut,74,125,0,273,404,273,636,569,2045,1189,Connecticut,4884,1481,0,273,23272,3437,2297,927,65,101,Connecticut,654,384,71,117,60,101,2346,919,1957,1222,Connecticut,1927,812,371,344,13,24,602,499,2311,1010,Connecticut,563,488,680,353,1101,555,761,686,46,76,Connecticut,207,166,0,273
16,Delaware,185,225,60,101,324,386,0,261,214,217,Delaware,484,560,539,430,82986,6949,170,148,1314,809,Delaware,304,354,0,261,0,261,107,172,502,505,Delaware,60,104,237,271,36,61,288,330,0,261,Delaware,5631,1601,1274,726,903,725,117,140,406,404,Delaware,0,261,0,261,0,261,789,1159,84,100,Delaware,6461,1626,167,279,3848,1362,1038,962,0,261,Delaware,280,413,210,255,0,273,10526,3022,306,471,Delaware,262,195,480,706,0,261,99,165,1683,811,Delaware,0,261,16,27,1123,578,21,39,100,144,Delaware,0,261,50,82
17,District of Columbia ,453,492,0,300,296,308,574,706,4178,1801,District of Columbia ,489,382,1438,776,471,284,58181,6847,2307,985,District of Columbia ,501,348,252,260,47,77,1239,518,124,163,District of Columbia ,111,184,0,300,202,218,96,158,53,89,District of Columbia ,14647,2724,1659,714,419,268,0,300,0,300,District of Columbia ,355,336,119,197,102,175,53,89,108,112,District of Columbia ,778,362,107,194,3751,957,534,323,0,300,District of Columbia ,1232,709,0,300,400,374,1406,567,0,300,District of Columbia ,415,235,103,171,53,90,124,143,968,441,District of Columbia ,0,300,172,202,6365,1650,586,512,163,168,District of Columbia ,204,178,0,300
18,Florida,13391,3414,6221,2565,3872,1260,1883,1215,20661,3287,Florida,10966,3673,13719,2487,1158,676,1321,650,2388961,38726,Florida,31752,5476,2678,1587,1122,699,18065,3367,13047,3430,Florida,1425,694,1402,758,9255,2601,5901,1924,4872,1857,Florida,13441,2883,24301,4538,22360,4683,5005,1478,6103,2040,Florida,4774,1585,481,364,950,604,2141,1176,2757,1008,Florida,23909,3931,835,537,63312,5266,15249,3512,753,831,Florida,23340,3562,3528,1511,2119,891,25668,4323,18832,3980,Florida,3530,1805,8460,2141,682,693,10052,2762,24855,4473,Florida,1645,1047,1139,764,21684,4054,7426,2861,2778,1219,Florida,6744,2088,795,496
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Georgia,17724,2931,2063,1774,4385,1703,2285,1195,21454,4225,Georgia,3194,1403,3380,1666,1323,1165,1924,1333,77098,8807,Georgia,1320657,28745,2198,1446,335,242,8465,3130,3902,1685,Georgia,1599,1185,986,584,4276,2207,10574,3133,306,408,Georgia,5543,1640,3986,2299,8520,3180,1605,801,3829,1364,Georgia,3003,1559,373,369,289,329,917,628,909,758,Georgia,8683,2287,1365,911,24235,4290,15027,3219,0,296,Georgia,6873,2073,2431,1091,1991,1533,9614,3254,2471,1439,Georgia,297,235,14735,3741,249,368,13358,3259,18656,4243,Georgia,2986,1578,660,977,12095,2642,1735,917,1861,1279,Georgia,2300,1201,420,318
21,Hawaii,1223,1534,588,591,2125,1429,5,10,11560,2902,Hawaii,698,435,150,248,0,271,352,360,3314,1113,Hawaii,1462,892,132576,10647,60,101,1142,484,275,393,Hawaii,0,271,638,693,606,309,0,271,129,213,Hawaii,952,583,1403,1221,1101,762,716,613,41,69,Hawaii,181,183,445,537,42,71,1347,857,298,373,Hawaii,132,220,244,378,1843,951,1500,860,0,271,Hawaii,974,644,388,347,3110,1106,328,331,206,327,Hawaii,453,473,793,677,55,93,526,568,3372,1489,Hawaii,774,626,267,415,2446,1718,3327,1447,25,41,Hawaii,563,525,0,271
22,Idaho,67,94,693,549,4701,2049,0,257,10146,2182,Idaho,2707,1295,0,257,0,257,0,257,2166,1051,Idaho,365,339,677,521,209961,9504,1167,1366,408,347,Idaho,321,446,484,447,357,477,0,257,118,183,Idaho,234,387,133,196,389,380,1643,1255,10,19,Idaho,398,313,1847,1016,343,322,3732,1846,153,249,Idaho,123,198,1915,1614,349,247,596,474,319,368,Idaho,695,552,468,520,5235,2012,298,389,0,257,Idaho,153,249,12,21,149,237,573,490,1708,853,Idaho,6361,2049,0,257,299,301,11271,2469,238,298,Idaho,627,527,1578,800
23,Illinois,2554,911,938,1136,5847,2155,4378,1739,14173,2535,Illinois,4045,1360,1298,737,383,363,1379,632,14542,3094,Illinois,9116,2835,1103,669,394,230,1515719,34366,19022,3581,Illinois,9777,2248,2169,1213,3715,1290,2293,913,212,199,Illinois,2098,935,3112,1101,13655,2671,5123,1781,2391,1284,Illinois,15832,3170,349,305,1208,489,2271,999,1079,692,Illinois,3104,1453,765,695,9481,2542,6005,2423,450,444,Illinois,6161,1546,2272,1096,692,426,6578,2829,957,807,Illinois,1390,1083,1055,565,1106,925,5814,1706,11382,3130,Illinois,1037,1356,62,106,6134,1808,3362,1343,496,557,Illinois,20647,3865,65,108
24,Indiana,1317,804,148,179,3301,1323,567,303,7380,1818,Indiana,2372,930,578,469,406,357,449,354,9632,2095,Indiana,1371,560,461,351,174,280,33792,4361,859613,25678,Indiana,1275,798,1459,943,12866,2653,791,499,379,298,Indiana,1920,827,251,214,9897,2100,1675,730,943,617,Indiana,3500,1431,199,226,734,501,898,548,78,104,Indiana,1558,911,954,830,3507,2304,2632,826,97,163,Indiana,13253,2544,415,341,673,601,3470,1547,572,701,Indiana,502,541,1344,1098,96,105,4739,1650,5636,1544,Indiana,519,499,0,265,3720,1458,2075,1395,726,623,Indiana,4356,1780,818,933
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Iowa,511,534,507,466,2699,908,707,632,4489,1390,Iowa,1737,943,0,226,132,163,303,430,2495,1033,Iowa,1916,1545,569,468,118,156,14042,2915,2820,896,Iowa,389724,13406,2021,1413,733,727,378,282,0,226,Iowa,932,721,538,457,2226,798,6440,1402,965,1067,Iowa,4989,1491,344,322,7420,1545,1080,1031,81,94,Iowa,0,226,336,322,822,685,1030,586,536,370,Iowa,1460,1007,637,576,1001,575,944,624,0,226,Iowa,0,226,118,147,1987,871,585,473,3744,1296,Iowa,8,14,136,177,751,591,966,595,528,532,Iowa,5704,1885,191,179
27,Kansas,971,754,418,405,1914,982,2595,1406,5735,1443,Kansas,3885,1022,97,155,0,242,87,132,2609,1033,Kansas,1029,738,193,288,81,67,3103,1728,796,588,Kansas,3171,1347,398090,17150,2276,1136,555,496,0,242,Kansas,554,724,781,568,612,377,823,501,259,311,Kansas,19059,3141,153,185,4137,1625,1644,918,0,242,Kansas,36,59,1257,674,704,508,925,482,186,307,Kansas,1286,801,7241,1686,426,307,550,413,168,138,Kansas,98,161,487,520,364,337,1831,1127,8075,1862,Kansas,526,529,113,146,1889,1110,1454,928,118,207,Kansas,399,308,888,661
28,Kentucky,1471,756,472,529,1047,686,970,733,5596,1740,Kentucky,1387,886,1758,1285,369,592,315,514,10288,2722,Kentucky,5627,2339,2083,1495,141,241,4093,1229,14775,2907,Kentucky,776,802,663,533,540079,17033,699,548,267,230,Kentucky,992,575,441,319,4803,1810,728,482,873,555,Kentucky,3279,1267,0,271,794,524,975,511,211,239,Kentucky,820,657,1070,1416,2236,1196,3986,1400,238,382,Kentucky,18080,3311,2343,1367,373,477,1310,635,136,210,Kentucky,0,271,1659,682,0,271,10935,2643,6418,1556,Kentucky,76,159,415,330,2162,894,197,182,2618,1232,Kentucky,2634,2101,0,271
29,Louisiana,4810,1735,282,325,529,483,4693,2753,8747,2600,Louisiana,1631,910,205,251,117,143,130,146,7848,2175,Louisiana,8264,2393,408,331,206,247,2630,1288,1582,1002,Louisiana,122,157,1483,748,1355,900,529818,17852,106,130,Louisiana,1224,833,1394,1053,1297,1098,973,978,11981,3197,Louisiana,1886,1160,284,336,309,326,1125,803,0,269,Louisiana,384,337,40,66,1378,551,1376,831,219,350,Louisiana,1521,987,1655,818,882,950,1416,970,137,174,Louisiana,0,269,1524,980,390,410,3347,1445,40743,5087,Louisiana,597,556,0,269,3641,1739,1465,1209,165,213,Louisiana,1320,732,0,269
30,Maine,228,180,757,936,858,750,0,226,3162,1535,Maine,718,471,1118,600,122,202,35,59,1833,1034,Maine,790,469,319,272,166,193,381,464,689,803,Maine,0,226,38,67,0,226,373,293,145094,7113,Maine,276,211,5081,1327,339,360,266,257,0,226,Maine,54,91,302,323,426,656,299,464,4547,1786,Maine,901,719,62,93,1913,878,724,512,0,226,Maine,771,715,0,226,70,87,348,244,0,226,Maine,924,1006,496,385,0,226,59,93,359,247,Maine,246,412,623,376,1863,1203,852,816,432,713,Maine,577,558,0,226
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Maryland,1744,1214,149,213,2225,1220,80,141,6349,1784,Maryland,1352,750,846,426,6530,1735,21319,4157,11077,3081,Maryland,4737,2107,1558,1074,86,106,3216,1170,1417,873,Maryland,319,336,330,261,1195,1123,1163,686,706,636,Maryland,581967,19735,3795,1345,2250,866,1169,577,992,756,Maryland,1668,1429,49,82,322,389,368,312,216,297,Maryland,5660,1551,178,234,7642,1479,6360,2042,201,305,Maryland,3104,1766,702,550,461,323,14666,2664,1177,1022,Maryland,309,259,1569,594,115,109,1280,721,5508,2254,Maryland,1126,552,177,220,19075,3601,1721,961,3119,1382,Maryland,358,407,139,227
33,Massachusetts,268,232,1523,1136,1527,603,267,286,9526,1852,Massachusetts,2044,954,10978,2551,269,345,972,459,11006,2427,Massachusetts,2198,1297,1820,1336,0,281,2523,1195,1317,868,Massachusetts,424,345,323,276,264,209,370,284,4322,1843,Massachusetts,4508,1066,673227,21589,1044,434,722,454,897,924,Massachusetts,780,544,0,281,117,138,426,306,11008,2336,Massachusetts,7093,1471,512,401,19851,2745,2145,881,0,281,Massachusetts,2619,1498,0,281,284,260,7043,2056,4809,1948,Massachusetts,9221,2214,709,625,505,727,403,343,3497,1177,Massachusetts,697,398,2126,797,2733,1174,1877,961,431,423,Massachusetts,595,430,0,281
34,Michigan,2751,1811,2223,2157,3351,1068,1077,792,8272,2088,Michigan,3455,1442,2647,1687,160,185,38,61,12374,1907,Michigan,5897,2145,392,221,113,185,10230,1978,7387,1660,Michigan,849,540,1042,719,1551,671,1543,983,0,237,Michigan,2137,1129,2240,933,1257187,27636,3244,1365,585,319,Michigan,2880,1032,183,229,549,535,902,595,550,527,Michigan,1969,810,1053,709,4910,1463,2608,902,745,784,Michigan,14601,3454,831,485,305,235,2493,1042,136,178,Michigan,323,325,891,455,222,253,3463,1169,5100,1409,Michigan,764,591,499,614,4266,1249,2214,972,959,485,Michigan,3900,1016,605,393
35,Minnesota,477,659,965,576,2915,1237,1374,1044,5824,2223,Minnesota,3960,1556,238,187,38,63,102,124,5349,2344,Minnesota,3716,1431,80,146,275,199,7248,2264,1880,720,Minnesota,4987,1309,961,849,3363,736,127,131,203,248,Minnesota,885,704,1377,569,3186,1382,607207,18354,2020,1514,Minnesota,3014,1188,1209,649,1774,967,352,227,0,211,Minnesota,537,442,169,130,1908,904,807,431,6433,1677,Minnesota,1189,670,852,615,1257,764,1451,930,373,507,Minnesota,127,135,445,278,3170,844,959,581,4817,1698,Minnesota,573,583,168,200,995,668,1487,670,84,133,Minnesota,17260,2551,534,377
36,Mississippi,10295,2569,0,289,1093,1303,2954,1444,2659,1265,Mississippi,1279,1016,232,229,0,289,1008,1148,5253,1978,Mississippi,4005,1749,120,104,160,273,2925,1394,1567,1114,Mississippi,50,83,864,666,832,543,7752,1815,113,146,Mississippi,914,709,380,496,2606,1038,1355,704,380163,17338,Mississippi,1773,960,0,289,0,289,699,480,161,185,Mississippi,223,221,303,293,1855,1208,2531,1313,0,289,Mississippi,713,558,327,318,483,540,543,456,106,128,Mississippi,0,289,1401,780,96,164,12882,3500,7483,2156,Mississippi,0,289,55,94,864,579,199,212,441,555,Mississippi,324,287,70,115
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Missouri,1790,802,941,792,3627,1365,8252,1872,14205,3113,Missouri,4320,1475,1178,1207,62,105,636,507,8135,1507,Missouri,3421,1148,617,411,193,190,21200,3623,2537,914,Missouri,5555,1536,21441,3100,455,290,1695,1252,416,569,Missouri,991,701,576,492,2957,940,2735,1385,2038,916,Missouri,796298,23094,228,320,3027,1756,1148,613,0,255,Missouri,1679,953,1574,790,4282,1690,2351,955,326,206,Missouri,3606,1293,5431,1415,583,523,2348,1218,68,112,Missouri,307,398,1338,690,390,262,4372,1551,11669,2668,Missouri,1468,1182,214,262,4748,2581,2743,1083,407,401,Missouri,1147,488,593,397
39,Montana,266,405,1624,819,806,504,387,457,5484,1695,Montana,1916,863,127,227,0,233,19,31,211,184,Montana,818,741,110,132,2320,844,354,285,319,298,Montana,210,268,196,205,497,383,301,234,0,233,Montana,207,263,9,24,388,391,779,427,191,220,Montana,864,568,123021,8148,187,214,1038,656,137,225,Montana,579,705,249,205,618,528,273,306,1904,1002,Montana,456,419,334,312,1249,633,396,478,0,233,Montana,130,202,74,95,300,213,834,796,1409,788,Montana,914,658,0,233,0,233,3543,1129,0,233,Montana,412,374,2418,1400
