GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "04000","Arizona",6,SAOEMP,"Number of jobs",24,"  Other services, except government",1134,1119,1167,1174,1171,1169
 "04000","Arizona",6,SAOEMP,"Number of jobs",25," Government",5414,5471,5459,5557,5717,5829
 "04000","Arizona",6,SAOEMP,"Number of jobs",26,"  Federal",1017,1083,981,954,980,984
 "04000","Arizona",6,SAOEMP,"Number of jobs",27,"  State and local",4397,4389,4478,4604,4736,4844
 "05000","Arkansas",5,SAOEMP,"Number of jobs",1,"All Industries",36842,37181,37835,38616,39842,39299
 "05000","Arkansas",5,SAOEMP,"Number of jobs",2," Private Industries",34484,34804,35487,36287,37528,36950
 "05000","Arkansas",5,SAOEMP,"Number of jobs",3,"  Agriculture, forestry, fishing, and hunting",243,245,259,275,272,293
 "05000","Arkansas",5,SAOEMP,"Number of jobs",4,"  Mining",4,4,3,3,3,3
 "05000","Arkansas",5,SAOEMP,"Number of jobs",5,"  Utilities",0,0,0,0,0,0
 "05000","Arkansas",5,SAOEMP,"Number of jobs",6,"  Construction",502,560,648,760,779,781
 "05000","Arkansas",5,SAOEMP,"Number of jobs",7,"  Manufacturing",3911,3884,3928,4103,4313,4568
 "05000","Arkansas",5,SAOEMP,"Number of jobs",8,"   Durable goods",2037,2108,2157,2258,2424,2683
 "05000","Arkansas",5,SAOEMP,"Number of jobs",9,"   Nondurable goods",1875,1776,1771,1845,1890,1886
 "05000","Arkansas",5,SAOEMP,"Number of jobs",10,"  Wholesale trade",1343,1302,1300,1309,1256,1251
 "05000","Arkansas",5,SAOEMP,"Number of jobs",11,"  Retail trade",13252,13679,13658,13818,14035,13633
 "05000","Arkansas",5,SAOEMP,"Number of jobs",12,"  Transportation and warehousing",1062,1037,1016,990,972,954
 "05000","Arkansas",5,SAOEMP,"Number of jobs",13,"  Information",78,78,77,74,72,65
 "05000","Arkansas",5,SAOEMP,"Number of jobs",14,"  Finance, insurance, real estate, rental, and leasing",281,281,256,258,269,270
 "05000","Arkansas",5,SAOEMP,"Number of jobs",15,"   Finance and insurance",87,82,78,78,77,81
 "05000","Arkansas",5,SAOEMP,"Number of jobs",16,"   Real estate and rental and leasing",194,199,177,180,191,189
 "05000","Arkansas",5,SAOEMP,"Number of jobs",17,"  Professional and business services",364,371,383,402,425,437
 "05000","Arkansas",5,SAOEMP,"Number of jobs",18,"   Educational services, health care, and social assistance",682,725,760,778,807,825
 "05000","Arkansas",5,SAOEMP,"Number of jobs",19,"   Educational services",644,687,720,737,765,784
 "05000","Arkansas",5,SAOEMP,"Number of jobs",20,"   Health care and social assistance",38,38,39,41,42,42
 "05000","Arkansas",5,SAOEMP,"Number of jobs",21,"  Arts, entertainment, recreation, accommodation, and food services",12362,12237,12789,13110,13923,13478
 "05000","Arkansas",5,SAOEMP,"Number of jobs",22,"   Arts, entertainment, and recreation",5064,5223,5535,5701,6068,6337
 "05000","Arkansas",5,SAOEMP,"Number of jobs",23,"   Accommodation and food services",7297,7014,7254,7409,7855,7141
 "05000","Arkansas",5,SAOEMP,"Number of jobs",24,"  Other services, except government",401,400,410,407,403,393
 "05000","Arkansas",5,SAOEMP,"Number of jobs",25," Government",2358,2377,2348,2329,2314,2349
 "05000","Arkansas",5,SAOEMP,"Number of jobs",26,"  Federal",283,295,264,255,269,271
 "05000","Arkansas",5,SAOEMP,"Number of jobs",27,"  State and local",2075,2082,2084,2074,2045,2078
 "06000","California",8,SAOEMP,"Number of jobs",1,"All Industries",538622,536425,546561,558757,573582,588680
 "06000","California",8,SAOEMP,"Number of jobs",2," Private Industries",504013,502793,513414,525706,539763,554550
 "06000","California",8,SAOEMP,"Number of jobs",3,"  Agriculture, forestry, fishing, and hunting",9824,8811,9431,9778,10027,10274
 "06000","California",8,SAOEMP,"Number of jobs",4,"  Mining",14,13,13,11,11,11
 "06000","California",8,SAOEMP,"Number of jobs",5,"  Utilities",0,0,0,0,0,0
 "06000","California",8,SAOEMP,"Number of jobs",6,"  Construction",11029,11567,10969,14161,14813,15093
 "06000","California",8,SAOEMP,"Number of jobs",7,"  Manufacturing",29206,28855,28644,28788,28462,27339
 "06000","California",8,SAOEMP,"Number of jobs",8,"   Durable goods",9292,9353,9345,9888,9824,10260
 "06000","California",8,SAOEMP,"Number of jobs",9,"   Nondurable goods",19914,19502,19299,18900,18638,17080
 "06000","California",8,SAOEMP,"Number of jobs",10,"  Wholesale trade",23470,23123,23655,24207,24372,24519
 "06000","California",8,SAOEMP,"Number of jobs",11,"  Retail trade",166653,167522,168947,170121,170463,169229
 "06000","California",8,SAOEMP,"Number of jobs",12,"  Transportation and warehousing",24486,25238,25619,26507,27498,30156
 "06000","California",8,SAOEMP,"Number of jobs",13,"  Information",568,573,584,616,632,648
 "06000","California",8,SAOEMP,"Number of jobs",14,"  Finance, insurance, real estate, rental, and leasing",5411,5375,5122,5209,5277,5490
 "06000","California",8,SAOEMP,"Number of jobs",15,"   Finance and insurance",1623,1520,1433,1391,1352,1369
 "06000","California",8,SAOEMP,"Number of jobs",16,"   Real estate and rental and leasing",3788,3855,3689,3818,3926,4120
 "06000","California",8,SAOEMP,"Number of jobs",17,"  Professional and business services",6408,6476,6593,6979,7593,7737
 "06000","California",8,SAOEMP,"Number of jobs",18,"   Educational services, health care, and social assistance",11947,12824,13520,14080,14828,15449
 "06000","California",8,SAOEMP,"Number of jobs",19,"   Educational services",11527,12404,13087,13629,14355,14964
 "06000","California",8,SAOEMP,"Number of jobs",20,"   Health care and social assistance",420,420,433,450,473,485
 "06000","California",8,SAOEMP,"Number of jobs",21,"  Arts, entertainment, recreation, accommodation, and food services",207323,204640,212212,216982,227430,240130
 "06000","California",8,SAOEMP,"Number of jobs",22,"   Arts, entertainment, and recreation",103575,106644,112385,114569,119816,123559
 "06000","California",8,SAOEMP,"Number of jobs",23,"   Accommodation and food services",103748,97996,99827,102413,107615,116571
 "06000","California",8,SAOEMP,"Number of jobs",24,"  Other services, except government",7673,7775,8105,8265,8357,8475
 "06000","California",8,SAOEMP,"Number of jobs",25," Government",34609,33632,33147,33052,33819,34130
 "06000","California",8,SAOEMP,"Number of jobs",26,"  Federal",3582,3845,3503,3371,3413,3336
 "06000","California",8,SAOEMP,"Number of jobs",27,"  State and local",31027,29787,29644,29681,30406,30794
 "08000","Colorado",7,SAOEMP,"Number of jobs",1,"All Industries",127275,126395,130281,133296,137692,146178
 "08000","Colorado",7,SAOEMP,"Number of jobs",2," Private Industries",117752,116969,120765,123653,127744,136013
 "08000","Colorado",7,SAOEMP,"Number of jobs",3,"  Agriculture, forestry, fishing, and hunting",856,824,905,1005,1010,1102
 "08000","Colorado",7,SAOEMP,"Number of jobs",4,"  Mining",24,21,18,15,15,18
