GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",20,"   Health care and social assistance",5673,5587,5945,6298,6614,6956
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",1221091,1199004,1317045,1388259,1494487,1629962
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",22,"   Arts, entertainment, and recreation",560524,583879,635085,654437,710051,748683
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",23,"   Accommodation and food services",660567,615126,681960,733822,784436,881278
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",24,"  Other services, except government",39806,41423,43725,46609,49309,52169
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",25," Government",356891,368566,372820,383218,397605,415717
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",26,"  Federal",77020,82333,78486,79383,84816,87878
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",27,"  State and local",279871,286234,294335,303835,312789,327840
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",1,"All Industries",1189778,1210939,1254618,1304502,1377956,1390053
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",2," Private Industries",1057253,1071513,1113179,1158610,1228335,1234191
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",10889,10679,11072,11974,12372,13195
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",4,"  Mining",273,263,241,189,186,178
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",5,"  Utilities",1,1,1,1,2,2
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",6,"  Construction",17624,18356,21890,24863,27834,30576
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",7,"  Manufacturing",186243,187043,193627,197706,225222,228658
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",8,"   Durable goods",100492,100637,108882,115600,117783,128317
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",9,"   Nondurable goods",85751,86406,84745,82106,107439,100341
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",10,"  Wholesale trade",85630,84137,87337,91678,88241,89649
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",11,"  Retail trade",336584,349773,356036,369236,379597,380557
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",12,"  Transportation and warehousing",58650,58980,59096,60093,59821,60649
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",13,"  Information",3395,3583,3720,3681,3561,3717
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",14135,13917,12966,14046,14829,15676
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",15,"   Finance and insurance",7451,7169,7063,7273,7308,7937
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",16,"   Real estate and rental and leasing",6684,6748,5904,6773,7521,7739
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",17,"  Professional and business services",13635,12066,13056,14845,16016,17968
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",18,"   Educational services, health care, and social assistance",15384,15764,17176,17861,18668,19184
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",19,"   Educational services",13229,13580,14890,15450,16112,16569
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",20,"   Health care and social assistance",2155,2185,2286,2411,2556,2615
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",296783,298099,317304,331852,360421,351977
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",22,"   Arts, entertainment, and recreation",117646,123681,131847,136334,147237,155889
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",23,"   Accommodation and food services",179138,174418,185457,195518,213184,196088
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",24,"  Other services, except government",18027,18851,19655,20585,21566,22206
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",25," Government",132525,139426,141439,145892,149621,155862
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",26,"  Federal",21661,22884,21489,21491,23267,24025
 "05000","Arkansas",5,SAOCOMP,"Thousands of dollars",27,"  State and local",110863,116542,119950,124401,126354,131837
 "06000","California",8,SAOCOMP,"Thousands of dollars",1,"All Industries",21943822,22323543,23184967,24497830,25659824,27383466
 "06000","California",8,SAOCOMP,"Thousands of dollars",2," Private Industries",19192763,19519510,20345753,21567550,22605231,24223717
 "06000","California",8,SAOCOMP,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",310949,292961,325251,333178,356360,379602
 "06000","California",8,SAOCOMP,"Thousands of dollars",4,"  Mining",1538,1490,1471,1397,1323,1298
 "06000","California",8,SAOCOMP,"Thousands of dollars",5,"  Utilities",29,33,28,32,35,31
 "06000","California",8,SAOCOMP,"Thousands of dollars",6,"  Construction",446159,446129,431330,533513,605640,675478
 "06000","California",8,SAOCOMP,"Thousands of dollars",7,"  Manufacturing",1980256,1988893,2039492,2097623,2020154,2139669
 "06000","California",8,SAOCOMP,"Thousands of dollars",8,"   Durable goods",678544,663475,682061,747833,745856,809268
 "06000","California",8,SAOCOMP,"Thousands of dollars",9,"   Nondurable goods",1301712,1325418,1357431,1349791,1274299,1330401
 "06000","California",8,SAOCOMP,"Thousands of dollars",10,"  Wholesale trade",1625164,1580161,1684426,1809290,1783684,1808224
