,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 45 through 47.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129
10,Alabama,4764428,3589,4054260,21464,590326,19701,104600,8482,,,Alabama,1004,829,962,583,660,382,3077,1037,1386,1393,Alabama,284,256,42,68,162,195,11244,2476,19920,3636,Alabama,627,477,493,456,2722,1030,1347,536,345,337,Alabama,865,760,2495,981,3104,1216,67,82,1513,847,Alabama,334,272,2298,881,752,716,4952,1703,1555,836,Alabama,101,132,151,167,1009,824,161,166,1702,1200,Alabama,459,576,2709,1188,5133,1788,228,194,1411,576,Alabama,194,157,200,169,1837,736,0,184,2811,1951,Alabama,518,758,10539,2731,7468,2136,579,713,0,184,Alabama,3170,1577,1034,684,128,156,760,605,88,107,Alabama,15242,2994,619,551,0,184,14623,2857
11,Alaska,721186,1290,592551,8741,90613,7239,33415,4385,1097,825,Alaska,,,1520,1441,196,202,3494,1643,556,279,Alaska,0,143,0,143,356,459,1991,942,928,894,Alaska,1376,805,538,387,58,118,260,235,13,24,Alaska,221,272,161,196,120,145,66,62,508,591,Alaska,297,289,563,426,192,191,56,76,819,628,Alaska,371,334,1195,1128,803,382,118,206,116,156,Alaska,263,219,736,576,920,784,264,359,1316,757,Alaska,335,252,3174,1510,255,240,0,143,384,394,Alaska,99,123,451,413,1488,760,330,347,79,108,Alaska,1265,674,3725,1488,0,143,206,261,136,217,Alaska,4607,1235,25,43,272,312,4310,1199
12,Arizona,6468907,3874,5242674,32185,953789,28803,232457,14183,1331,1286,Arizona,3717,1505,,,1214,659,44889,5435,13790,6133,Arizona,417,309,246,215,36,60,5553,2160,2263,961,Arizona,2491,1285,2934,1362,10744,2614,2930,1447,2702,1000,Arizona,2498,852,1328,997,724,442,616,593,3007,1288,Arizona,1961,1083,9598,3471,8570,3050,293,215,2595,1099,Arizona,1118,536,2293,1037,6712,2202,510,443,2564,1085,Arizona,6946,1907,7402,2615,2721,939,877,444,7906,2239,Arizona,1626,838,8587,3200,4280,1395,614,687,1070,573,Arizona,1472,776,5075,1919,14788,3541,5916,1789,207,291,Arizona,2763,1031,13247,2448,765,734,3765,1168,2786,1401,Arizona,39987,4295,1791,1662,447,401,37749,4037
13,Arkansas,2912680,2753,2453347,16841,373046,14543,76948,7223,374,293,Arkansas,855,906,1677,954,,,3525,1202,603,369,Arkansas,185,264,0,184,205,232,2682,1052,1525,1006,Arkansas,0,184,0,184,3576,1286,1172,587,409,330,Arkansas,1033,539,1310,884,3953,1340,17,39,169,209,Arkansas,254,262,1283,607,295,285,3689,2537,9105,2916,Arkansas,258,293,166,201,121,161,0,184,157,171,Arkansas,547,482,2262,1559,3057,2173,0,184,1135,626,Arkansas,9938,2371,193,179,516,475,59,103,52,71,Arkansas,673,588,4195,1127,11767,2841,269,216,0,184,Arkansas,1159,824,251,226,84,148,695,467,1498,2098,Arkansas,9339,1679,0,184,4,7,9335,1680
14,California,37572738,10274,31777868,67939,5046618,65422,493641,19652,2509,983,California,6995,1948,38916,5726,3472,1354,,,15150,2598,California,6764,2194,474,413,3199,1061,21004,3394,10790,2458,California,11906,2720,5331,1519,21251,3521,5891,1629,2284,987,California,2790,984,3763,1292,5180,1525,1256,951,7902,2347,California,14356,2682,8921,2069,8539,1942,2556,993,6729,1595,California,3060,1275,3302,2007,27968,3857,1327,615,12057,2447,California,5921,2240,31261,5136,11195,2366,1827,1272,10653,2869,California,6671,1795,22724,3271,10466,2392,1648,697,4110,1492,California,826,674,5802,1880,43005,5519,12172,2457,544,345,California,15625,3457,34569,4540,1413,1135,5681,1716,1886,1117,California,254611,13204,2323,1076,1483,859,250805,13066
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Colorado,5123944,2939,4131357,21752,751921,19587,205060,11855,3108,1610,Colorado,3457,1695,10589,2218,1043,580,22152,4260,,,Colorado,1317,677,70,133,488,387,8615,1907,5834,2086,Colorado,2536,1020,2660,1468,6374,1617,4336,2128,2776,1486,Colorado,5283,1843,2500,2135,5048,2468,20,40,2844,1196,Colorado,5939,2238,3343,1293,2992,909,835,522,3771,1262,Colorado,2021,923,4472,1729,3789,1433,679,308,2464,1179,Colorado,6520,1851,7250,2604,4378,1678,1918,1071,4533,2214,Colorado,4582,2102,2419,836,3950,1530,137,153,2383,1479,Colorado,756,553,2535,1135,17355,3352,6398,2035,503,371,Colorado,3796,1568,4853,1401,837,429,3000,1006,5602,2808,Colorado,35606,4299,1144,903,387,327,34075,4250
17,Connecticut,3555319,2447,3114940,16188,334918,14546,80311,6574,46,103,Connecticut,439,511,3167,3028,200,228,3161,1015,367,341,Connecticut,,,22,36,288,230,6578,1844,1702,971,Connecticut,408,476,97,155,912,583,53,90,0,193,Connecticut,0,193,124,159,909,733,1224,696,1752,748,Connecticut,8743,1587,753,539,605,564,276,293,358,330,Connecticut,50,91,45,74,172,166,1009,551,5665,1490,Connecticut,444,450,23310,3774,3379,1609,0,193,287,254,Connecticut,415,411,35,58,2214,1037,1558,689,940,665,Connecticut,0,193,260,216,3279,1568,45,69,709,556,Connecticut,1729,707,1593,1274,174,293,711,684,104,120,Connecticut,25150,4381,3228,1540,213,179,21709,3926
18,Delaware,906576,1624,782216,9177,86003,7626,34757,4691,119,164,Delaware,692,920,188,227,0,182,2221,2189,0,182,Delaware,1489,679,,,11,21,715,481,179,224,Delaware,0,182,32,51,567,468,62,80,30,49,Delaware,113,190,0,182,178,266,0,182,5649,1598,Delaware,157,131,227,233,351,390,58,110,80,138,Delaware,0,182,91,116,572,474,99,127,5846,2122,Delaware,85,136,3566,1751,1349,809,0,182,191,201,Delaware,0,182,0,182,6828,1815,135,185,298,235,Delaware,0,182,344,440,133,158,166,279,0,182,Delaware,1746,910,29,49,161,205,0,182,0,182,Delaware,3600,1007,56,90,0,182,3544,991
19,District of Columbia ,624847,948,500267,6225,61992,5668,53830,5001,79,138,District of Columbia ,1247,715,902,646,35,59,4999,2108,677,546,District of Columbia ,618,439,78,127,,,1705,661,1079,470,District of Columbia ,38,87,46,75,795,446,469,379,133,221,District of Columbia ,164,267,112,136,283,295,194,244,14120,2487,District of Columbia ,1524,717,944,670,393,240,44,74,337,354,District of Columbia ,0,197,172,182,42,69,197,183,1451,792,District of Columbia ,116,139,3085,851,985,503,0,197,651,429,District of Columbia ,0,197,157,182,1494,608,635,596,150,140,District of Columbia ,0,197,577,478,1473,826,116,145,267,250,District of Columbia ,9537,1762,481,358,293,219,721,420,215,303,District of Columbia ,8758,1942,0,197,0,197,8758,1942
20,Florida,19114620,6877,16032617,49245,2380288,44658,537148,19784,18599,4762,Florida,10704,4327,6473,1865,3321,1136,20386,4221,8766,2537,Florida,8975,1882,1099,608,780,481,,,42754,6205,Florida,3177,2730,1268,923,22565,3828,13803,2852,3864,1332,Florida,5661,3133,6912,1607,5550,2266,7348,3032,10442,2378,Florida,15159,2747,23400,3519,5460,2185,5490,3345,10666,3498,Florida,1758,2104,945,713,1241,515,2362,922,27606,4242,Florida,2853,1004,53009,5886,23133,3843,239,203,22927,4305,Florida,3142,1301,2919,1736,25659,4174,3050,1458,11366,2719,Florida,1070,762,16275,3583,28564,4750,2499,1348,2747,1190,Florida,25697,3965,4943,1710,3533,1587,6216,1993,773,567,Florida,164567,10910,21638,4641,2328,1213,140601,9386
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Georgia,9796547,5863,8231384,34188,1236302,31155,277466,14075,13864,2903,Georgia,2654,1444,6657,2675,1041,519,14174,3182,4710,2093,Georgia,1829,824,226,246,1352,994,42870,5472,,,Georgia,1409,831,936,797,7143,1833,5972,2678,1687,1036,Georgia,1497,707,6172,1972,4100,1490,222,178,3619,1621,Georgia,4153,1720,9949,3100,2237,2164,3280,1372,3377,1479,Georgia,251,224,1283,1001,3783,2622,15,27,4920,1544,Georgia,915,512,13957,3960,16009,2963,207,250,7501,2501,Georgia,3299,1818,453,472,9076,2622,440,620,18611,3871,Georgia,257,291,17606,4620,16198,3367,20,35,84,142,Georgia,10702,2094,1965,826,1237,625,3441,1725,106,154,Georgia,51395,6804,1730,1190,853,507,48812,6838
23,Hawaii,1374852,1662,1164145,10466,134827,9196,55145,5749,608,479,Hawaii,1417,869,1865,695,24,54,9756,1508,1216,574,Hawaii,191,222,278,253,230,253,2780,1227,1448,639,Hawaii,,,404,431,318,194,292,261,84,98,Hawaii,1135,709,485,630,207,183,91,147,2491,1610,Hawaii,1266,962,321,189,192,240,44,52,944,630,Hawaii,131,172,75,125,760,424,85,119,410,435,Hawaii,284,243,2382,1279,2241,1274,0,177,884,995,Hawaii,1095,933,1763,764,1087,770,106,176,644,460,Hawaii,459,726,1314,675,3300,1887,2183,1283,0,177,Hawaii,1393,755,5920,1901,197,330,295,234,50,66,Hawaii,20735,2663,336,436,631,383,19768,2685
24,Idaho,1573036,2184,1296975,12998,210151,11483,59283,6040,575,838,Idaho,1198,790,2424,1307,291,268,10280,2708,1186,614,Idaho,44,81,120,199,116,124,2014,1608,583,848,Idaho,206,194,,,532,469,283,282,90,170,Idaho,63,69,83,128,54,92,0,187,107,161,Idaho,338,391,683,777,637,528,87,170,214,259,Idaho,3800,2162,35,60,2535,1031,0,187,214,206,Idaho,675,554,938,554,817,843,0,187,1018,753,Idaho,93,108,4963,1377,169,181,0,187,205,238,Idaho,118,192,1957,1539,1352,714,6617,3016,0,187,Idaho,269,388,10398,1919,0,187,225,272,677,406,Idaho,6627,1610,136,228,303,317,6188,1617
25,Illinois,12725119,5939,11009321,31714,1441191,27618,208755,10844,883,478,Illinois,2250,1511,7139,2314,1587,643,14940,2770,3036,1235,Illinois,955,634,234,228,1066,615,12687,2735,8745,3894,Illinois,869,593,1384,868,,,16907,2654,8529,1959,Illinois,2009,988,2923,1049,1229,561,526,347,1865,755,Illinois,3296,1088,12583,3412,6537,1781,2744,1178,13264,3449,Illinois,228,183,1302,637,1478,817,283,255,2366,1097,Illinois,1359,1078,7561,2307,3761,1150,196,184,6872,1834,Illinois,1491,860,954,517,4588,1506,462,478,1583,875,Illinois,394,444,4648,1468,16780,3035,1154,495,156,133,Illinois,4311,1212,2704,971,1221,1224,14414,2249,302,309,Illinois,65852,6243,2049,1480,149,177,63654,6337
26,Indiana,6457067,4184,5493090,26865,805228,22224,134137,9664,1625,788,Indiana,479,429,2763,1095,564,753,6033,1477,1225,531,Indiana,823,595,639,831,1045,733,11472,2864,2258,1176,Indiana,856,998,186,176,28436,4261,,,1678,860,Indiana,1624,785,11177,2929,736,416,0,184,1050,648,Indiana,837,590,11017,2594,1543,732,1948,1655,4526,1802,Indiana,134,191,591,541,1011,549,0,184,1537,1034,Indiana,219,245,2316,724,2665,884,113,164,11235,2192,Indiana,1198,725,387,239,2419,1101,0,184,1414,901,Indiana,111,147,3547,1422,4490,1562,105,124,0,184,Indiana,1932,1101,258,221,507,345,1727,769,1681,2023,Indiana,24612,3645,136,194,0,184,24476,3650
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Iowa,3035469,2721,2585979,14093,362938,11238,75760,5982,503,400,Iowa,951,814,1590,803,451,237,3268,1296,3252,1250,Iowa,112,135,0,151,151,155,4335,2060,596,481,Iowa,521,476,290,218,11969,2313,1716,1097,,,Iowa,918,500,819,609,763,568,78,125,419,287,Iowa,585,520,946,497,7505,1826,751,621,4168,1021,Iowa,452,305,7698,1806,681,602,56,93,1018,767,Iowa,114,188,1230,819,734,428,833,617,1127,692,Iowa,1465,974,348,302,451,353,0,151,943,556,Iowa,1158,441,1148,871,3553,1275,886,880,0,151,Iowa,268,200,919,485,22,41,3607,849,392,316,Iowa,10792,1952,786,1190,0,151,10006,1402
29,Kansas,2848708,2507,2361899,16878,381695,15902,88284,7145,853,609,Kansas,333,407,3094,1630,2158,890,5411,2012,3746,1360,Kansas,210,208,0,165,456,737,3118,1380,1896,1395,Kansas,149,156,456,356,1702,582,1679,839,1527,860,Kansas,,,617,476,438,408,211,225,282,282,Kansas,187,203,1125,682,682,367,452,501,21022,3073,Kansas,300,326,4126,1245,851,606,0,165,267,228,Kansas,1029,627,571,367,813,476,261,263,1310,638,Kansas,8408,2299,848,557,918,672,18,31,556,375,Kansas,154,195,1542,825,8468,2434,97,106,70,138,Kansas,1705,853,3265,1675,139,132,486,530,278,239,Kansas,16830,2856,82,147,605,417,16143,2808
30,Kentucky,4328626,2851,3676472,15304,521511,14825,112787,7854,4137,1628,Kentucky,304,370,1103,715,518,299,3415,1157,712,572,Kentucky,246,290,706,774,254,262,9232,2697,4173,1184,Kentucky,647,665,50,91,4445,1359,12203,2150,238,257,Kentucky,602,464,,,666,294,46,80,1120,615,Kentucky,419,285,7302,1809,605,346,646,467,2381,1021,Kentucky,0,181,723,588,301,294,84,103,496,551,Kentucky,554,348,5239,1774,3643,1903,122,192,17041,3384,Kentucky,577,437,298,212,2226,964,0,181,1347,671,Kentucky,0,181,10064,2378,3345,1420,464,360,45,81,Kentucky,3319,1111,1988,998,3346,1472,1395,845,0,181,Kentucky,17856,3275,170,197,0,181,17686,3277
31,Louisiana,4545914,4612,3912023,21791,528406,20131,91215,6941,2329,1114,Louisiana,403,467,2021,1191,3645,2324,5139,1438,1433,1002,Louisiana,164,149,0,193,596,517,6534,2276,4478,1559,Louisiana,378,283,265,242,1229,466,1359,954,544,447,Louisiana,420,392,1649,1224,,,251,334,642,701,Louisiana,549,354,1080,782,330,324,6791,1938,1591,684,Louisiana,428,524,745,538,931,682,11,21,975,575,Louisiana,150,188,2786,1105,2284,1152,64,113,1115,773,Louisiana,2159,1365,195,232,1239,616,737,695,1914,1377,Louisiana,0,193,2348,1546,24488,4076,277,288,45,72,Louisiana,1857,1033,1581,631,238,271,682,474,146,216,Louisiana,14270,2470,655,507,267,239,13348,2481
32,Maine,1315586,1384,1132344,9895,151438,9223,27523,3132,129,172,Maine,38,48,230,170,0,155,1610,860,314,287,Maine,1468,620,234,299,32,55,2926,1292,511,538,Maine,0,155,143,128,195,277,0,155,7,16,Maine,277,401,482,521,15,30,,,325,263,Maine,3887,1167,116,123,430,359,79,134,69,112,Maine,0,155,82,136,35,56,3655,1077,405,281,Maine,272,320,2519,1180,1112,574,0,155,628,368,Maine,79,115,215,255,976,600,1024,656,173,143,Maine,0,155,985,1062,496,381,200,183,349,340,Maine,573,408,118,137,51,85,0,155,59,81,Maine,4281,1182,38,69,0,155,4243,1173
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Maryland,5816472,3717,5068457,21604,549973,20595,154983,8958,1261,713,Maryland,1947,1123,760,359,136,159,8614,2155,1071,609,Maryland,881,516,4100,1303,21213,3437,9610,2515,4610,2430,Maryland,610,474,429,444,3621,1647,1210,709,569,389,Maryland,1726,1123,715,602,606,441,332,261,,,Maryland,3977,1805,2167,973,1422,707,581,706,256,199,Maryland,0,190,132,152,330,258,1124,820,6260,2244,Maryland,638,453,11736,2585,7507,2284,116,94,2522,1035,Maryland,463,447,378,426,15485,2922,82,95,2297,1139,Maryland,0,190,1800,986,5612,1271,1061,831,589,598,Maryland,20579,2668,1431,884,1957,799,460,371,0,190,Maryland,43059,4885,294,249,116,142,42649,4886
