,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114
10,Arizona,1028,661,2983,1147,948400,31246,1289,730,51020,7272,Arizona,9845,2579,1205,828,513,705,235,200,10266,2748,Arizona,3413,1586,2196,1666,3098,1544,7106,1562,4371,1312,Arizona,2417,982,882,615,2490,2745,1586,708,951,632,Arizona,2395,1368,2905,973,10781,2115,9644,3848,690,767,Arizona,4910,1671,2440,1373,2674,1481,9056,2683,506,510,Arizona,2033,1240,5146,1575,7506,2635,5491,2491,1387,1531,Arizona,8274,1944,1920,738,7820,3224,5664,2085,123,203,Arizona,1165,892,1347,1095,1085,607,2299,1828,12153,3328,Arizona,4853,1775,218,162,3361,1298,11891,2803,356,274,Arizona,2792,1148,1701,955
11,Arkansas,1009,784,95,114,2872,1451,414632,17258,6451,2220,Arkansas,989,617,0,269,0,269,0,269,3948,1405,Arkansas,1085,619,381,433,444,574,4213,1925,628,427,Arkansas,1063,593,1625,853,264,264,2696,1209,76,125,Arkansas,485,481,272,288,2847,1600,2244,1755,4031,1984,Arkansas,6081,1996,305,509,938,707,581,419,26,53,Arkansas,47,78,822,655,185,176,1192,645,38,63,Arkansas,724,658,6698,2097,982,790,554,442,229,329,Arkansas,0,269,1174,1302,56,96,5195,1417,19551,4255,Arkansas,52,97,0,269,2575,1355,970,914,458,503,Arkansas,1468,820,154,189
12,California,2868,1167,5905,2598,37873,5688,4504,2438,4834704,61057,California,19002,4370,4551,1444,399,370,2410,946,23036,3601,California,8301,2289,11054,2569,6333,2028,21611,3669,4537,1123,California,2880,1069,4331,1726,2753,1216,4792,1574,2086,1065,California,8120,2412,13523,3131,10357,2664,5000,1404,2529,1161,California,8917,2789,3292,1681,2402,1034,31237,4395,1192,580,California,7454,2161,5753,1821,28535,4647,11247,1767,718,632,California,8312,2220,3059,1059,20369,3127,11697,2416,1487,836,California,1223,857,2876,912,715,497,5670,1788,42142,5418,California,9977,2441,892,547,13612,3015,29680,4801,1372,970,California,4705,1437,1585,798
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Colorado,1243,1446,3330,1808,12096,3181,966,638,28890,4526,Colorado,730806,20834,833,365,195,220,61,100,10469,3036,Colorado,4467,2594,1861,897,2090,1031,5140,1348,3181,1559,Colorado,2420,1318,6085,2840,1418,1043,2068,1073,597,414,Colorado,1039,697,2460,968,3498,2141,4067,1864,729,775,Colorado,2967,1282,2405,1143,3034,987,4453,1730,525,371,Colorado,2966,1769,8457,2265,3298,1322,4566,2639,1438,645,Colorado,3928,1514,3929,1533,4028,1608,3788,1124,366,538,Colorado,398,407,2930,1350,1230,809,1665,1090,18276,3024,Colorado,5002,1870,322,249,3404,1143,4926,1946,455,453,Colorado,3492,1465,5234,1627
15,Connecticut,139,161,1870,1338,977,817,0,275,2970,1075,Connecticut,1133,796,329373,15685,47,78,267,253,4573,1758,Connecticut,2852,1186,84,118,154,255,1296,736,220,246,Connecticut,353,431,63,101,379,504,357,397,1410,901,Connecticut,915,735,11231,1968,2062,1157,797,510,0,275,Connecticut,307,420,0,275,15,24,141,206,1431,695,Connecticut,4669,1459,141,148,17271,3048,1679,986,0,275,Connecticut,1269,830,58,76,58,98,3036,1763,3690,1638,Connecticut,2758,1598,978,657,61,103,375,342,2261,1227,Connecticut,61,96,1557,1247,3606,1585,1127,1107,85,76,Connecticut,1342,834,411,367
16,Delaware,89,155,235,286,180,185,0,263,1294,1147,Delaware,399,407,500,349,81102,7583,168,172,2029,806,Delaware,1018,712,0,263,0,263,1287,973,547,572,Delaware,0,263,73,122,0,263,472,502,58,98,Delaware,8322,2590,1574,2067,0,263,51,76,56,96,Delaware,260,326,0,263,0,263,135,228,304,423,Delaware,3323,1808,175,196,2966,1437,1200,578,758,1168,Delaware,86,99,38,64,0,263,8892,1609,406,346,Delaware,0,263,571,530,0,263,170,285,520,348,Delaware,0,263,0,263,2983,1274,550,584,92,145,Delaware,144,235,109,179
17,District of Columbia ,103,140,230,272,509,476,35,60,1688,646,District of Columbia ,360,306,919,634,981,721,63313,5969,1650,708,District of Columbia ,709,437,355,521,79,135,877,451,137,137,District of Columbia ,139,173,364,360,0,296,484,679,0,296,District of Columbia ,12275,2507,1523,665,895,778,300,277,91,114,District of Columbia ,179,229,65,108,0,296,0,296,230,191,District of Columbia ,1160,628,51,84,3974,1310,1370,428,0,296,District of Columbia ,966,514,109,122,412,340,1880,795,165,135,District of Columbia ,336,249,608,391,0,296,35,59,711,430,District of Columbia ,0,296,0,296,6828,1362,296,302,424,233,District of Columbia ,197,165,0,296
18,Florida,13116,3282,10734,4124,4501,1310,4368,1971,18241,4301,Florida,8511,2987,11058,1740,1680,862,2100,1324,2332650,44001,Florida,47089,6214,1763,880,1911,980,14902,3069,13681,2861,Florida,2431,1083,3928,1769,5697,1721,6223,1775,2845,970,Florida,10660,2445,15203,2762,19062,3351,4374,1765,3751,1513,Florida,4673,1631,538,542,612,537,2938,1771,2213,947,Florida,26070,4342,2806,1404,57995,7414,22320,3711,227,284,Florida,23501,5278,3548,1503,3286,1343,21401,2925,15862,3160,Florida,2371,1122,7876,2197,1931,1608,10889,2472,25181,3976,Florida,1185,738,2283,1376,23510,4110,6198,2807,2179,822,Florida,5633,1987,495,429
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Georgia,20484,4348,2734,1543,4337,1984,2193,1229,14254,3138,Georgia,2724,1077,2106,1543,438,319,2248,1450,49921,6422,Georgia,1321837,32053,1167,722,1590,1062,10721,4025,3932,1349,Georgia,2108,1065,1486,797,3726,1514,7971,3124,107,131,Georgia,5157,2289,5234,2304,7049,2322,1481,619,4020,1549,Georgia,3889,1936,234,262,915,642,806,479,808,658,Georgia,8398,2504,827,621,19851,4720,16136,3467,301,290,Georgia,8167,2580,2269,1147,1019,708,7752,1992,1465,1045,Georgia,340,275,14310,3084,280,394,12138,2877,17148,3963,Georgia,682,594,341,467,8531,2631,2626,1268,1460,1521,Georgia,2623,1273,550,525
21,Hawaii,502,572,1050,1127,2669,2393,1322,1153,12820,3207,Hawaii,1273,811,123,142,0,275,0,275,2761,1294,Hawaii,1639,1736,129678,10400,564,629,123,133,217,212,Hawaii,52,90,397,590,339,274,143,140,370,410,Hawaii,1811,940,283,309,520,431,949,1071,274,283,Hawaii,389,440,151,239,0,275,1338,648,428,400,Hawaii,762,665,165,161,933,616,2346,1803,0,275,Hawaii,571,493,1248,1126,388,319,1602,1166,209,286,Hawaii,562,996,433,323,137,230,104,179,3571,1533,Hawaii,442,502,128,227,4045,2124,4254,1766,42,71,Hawaii,748,759,503,803
22,Idaho,80,136,1390,882,2109,1025,751,749,10492,3079,Idaho,746,608,233,225,0,259,0,259,1049,690,Idaho,1428,872,60,103,222369,11359,1691,1030,219,275,Idaho,425,387,578,736,62,108,314,258,0,259,Idaho,216,215,424,583,779,988,1554,1023,19,34,Idaho,140,247,2025,1012,82,125,2390,862,26,48,Idaho,0,259,904,625,814,582,507,421,611,491,Idaho,288,357,393,512,7300,2512,288,264,163,232,Idaho,0,259,0,259,408,365,129,212,1125,573,Idaho,10142,3004,288,393,325,317,9480,2038,0,259,Idaho,547,427,1960,1221
23,Illinois,2029,1207,1694,985,4746,1562,2131,829,20722,4268,Illinois,4755,1893,1404,675,218,154,1134,594,14444,2698,Illinois,6446,1877,2682,1296,468,284,1444410,31867,22369,3876,Illinois,12054,2781,3067,1173,3735,1747,1183,632,958,553,Illinois,2067,778,3127,1497,13892,2871,3956,1255,2844,1915,Illinois,14256,2785,184,212,1031,592,1001,459,125,156,Illinois,2738,2050,593,401,6620,1697,3611,1523,536,437,Illinois,7379,2051,1937,939,1171,643,3511,1336,2478,1425,Illinois,283,187,1205,716,138,182,4054,1272,11031,2592,Illinois,1376,934,63,155,6530,1964,3383,1445,578,338,Illinois,16722,3677,67,118
24,Indiana,713,352,509,507,4590,1928,935,715,7951,2114,Indiana,2774,1376,967,790,0,265,285,410,9183,2394,Indiana,4292,1429,361,347,373,491,34358,5085,832734,24796,Indiana,735,417,733,474,11707,3304,1566,1055,146,219,Indiana,2614,1754,1080,793,13820,2757,903,503,1519,964,Indiana,4007,1434,280,314,625,468,1347,939,617,479,Indiana,1309,444,817,587,3395,1151,2443,901,182,279,Indiana,15522,2976,489,483,1972,1685,4779,2960,190,181,Indiana,71,116,2910,1499,265,337,3236,1142,4633,1605,Indiana,599,361,101,159,2626,1050,1644,802,1255,594,Indiana,3637,1391,0,265
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Iowa,219,255,578,311,1749,852,3309,2503,3019,965,Iowa,1448,636,565,448,171,288,60,100,2487,906,Iowa,1207,687,101,169,303,384,14874,2595,1662,1097,Iowa,402934,14151,2386,1019,516,368,1327,684,19,44,Iowa,117,147,406,296,1472,638,4976,1286,217,270,Iowa,4620,1402,387,601,8085,2166,419,263,0,226,Iowa,292,225,244,261,1156,859,1214,757,927,836,Iowa,430,371,1133,757,1040,926,430,359,342,328,Iowa,0,226,494,450,1817,822,1483,1610,6148,1611,Iowa,1140,764,0,226,1075,692,533,380,0,226,Iowa,2816,883,235,256
27,Kansas,1704,1502,283,291,2831,1665,1873,978,6118,2021,Kansas,6726,1946,372,361,0,244,0,244,3641,1472,Kansas,1369,764,489,754,192,177,3411,1512,1380,817,Kansas,2796,1795,377844,15274,2353,1619,923,789,593,683,Kansas,244,285,882,650,1624,872,822,573,496,467,Kansas,21252,3536,176,204,4961,1400,928,811,0,244,Kansas,915,686,1416,1032,809,494,1772,1115,74,106,Kansas,1134,714,7020,2036,271,250,463,549,0,244,Kansas,0,244,1341,1731,419,293,1828,1316,7399,2147,Kansas,792,640,190,270,2267,1767,1966,928,205,278,Kansas,1210,619,380,459
28,Kentucky,1312,634,591,489,294,435,879,752,3605,1086,Kentucky,872,586,290,263,250,275,108,115,11028,2827,Kentucky,3634,1410,838,758,78,141,5355,1566,10312,2994,Kentucky,307,247,2836,1723,525320,16242,680,629,432,393,Kentucky,2143,1220,695,454,4866,1708,563,335,817,502,Kentucky,2599,981,59,97,153,229,521,338,202,298,Kentucky,700,417,297,312,2922,1123,2004,909,0,271,Kentucky,16644,3200,693,469,938,537,872,575,280,248,Kentucky,0,271,1620,637,79,133,10709,2914,4796,1519,Kentucky,1083,679,794,674,2227,1184,1766,1186,1506,828,Kentucky,1236,651,250,408
29,Louisiana,2178,967,435,308,1469,1058,3832,1800,6616,2433,Louisiana,2276,1363,577,556,571,574,452,433,5443,1807,Louisiana,5007,2203,282,296,85,143,2301,1239,845,475,Louisiana,833,828,1950,1419,884,569,544587,21805,58,99,Louisiana,1370,1030,342,268,1868,739,197,201,9782,2749,Louisiana,1409,722,574,565,125,228,1558,1126,0,277,Louisiana,1853,1894,93,108,1734,707,3217,1667,0,277,Louisiana,1853,797,2120,951,654,630,751,487,670,617,Louisiana,233,337,2132,1459,0,277,2488,949,34597,5292,Louisiana,36,69,101,159,1597,995,873,742,214,318,Louisiana,1560,1668,1307,1470
30,Maine,446,480,417,530,476,585,0,228,2115,750,Maine,1000,851,2067,967,0,228,203,179,3273,1125,Maine,544,494,0,228,0,228,394,242,127,61,Maine,92,149,251,110,313,362,90,87,152539,9476,Maine,435,361,3466,1226,340,426,431,323,0,228,Maine,0,228,0,228,53,87,120,119,6443,1957,Maine,519,384,239,277,1741,819,1273,702,58,95,Maine,505,423,661,464,113,128,805,607,836,1093,Maine,313,255,89,118,56,96,72,93,1070,555,Maine,264,384,1682,1290,989,651,76,93,0,228,Maine,0,228,0,228
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Maryland,1868,1393,1897,1059,2399,980,601,597,6281,2151,Maryland,1221,619,2259,1298,6285,2227,23530,4408,8690,2131,Maryland,4946,1937,82,138,76,98,2010,830,1079,756,Maryland,676,542,695,568,532,432,1025,758,1256,1133,Maryland,543559,19814,3320,1100,2021,1032,673,582,559,468,Maryland,622,531,75,120,316,291,246,257,43,73,Maryland,5656,1417,478,410,10735,2410,6562,1887,0,281,Maryland,2473,1113,728,755,253,246,14072,3551,1784,1158,Maryland,595,441,2675,1285,219,332,4034,2258,5967,2387,Maryland,1383,855,424,395,20927,3719,979,550,4487,1448,Maryland,931,495,0,281
33,Massachusetts,870,624,802,658,824,465,350,448,13614,2552,Massachusetts,1993,1087,11156,2525,248,296,1207,714,14665,3445,Massachusetts,2708,1340,320,216,0,281,5173,1794,1415,807,Massachusetts,339,306,238,259,308,285,673,551,3534,1084,Massachusetts,4549,1737,674326,19149,1458,645,1855,793,244,241,Massachusetts,935,836,45,77,86,144,137,140,11816,2045,Massachusetts,8051,1976,130,155,19088,2845,4339,1673,0,281,Massachusetts,1413,748,509,358,501,679,4800,1455,6122,2290,Massachusetts,9874,2108,1353,966,0,281,1572,898,4677,1854,Massachusetts,1038,680,2174,763,3383,1130,1598,730,458,484,Massachusetts,806,459,0,281
34,Michigan,2126,1531,2281,1161,4058,1502,1329,1089,5387,1259,Michigan,2039,722,2119,1176,54,90,815,564,14160,2594,Michigan,2061,772,672,416,671,497,10546,1811,6365,1563,Michigan,899,444,592,449,1227,606,1843,1236,354,250,Michigan,2986,1419,2373,1312,1299718,29912,2057,1000,693,622,Michigan,1450,603,229,241,299,287,998,670,57,91,Michigan,1228,706,506,384,4945,1373,5273,2601,68,87,Michigan,12330,2855,2348,1708,240,232,4077,1267,1952,1573,Michigan,0,242,2079,1463,0,242,3280,1194,6168,1876,Michigan,1298,783,193,226,2793,1470,695,705,1056,561,Michigan,6283,1832,140,213
35,Minnesota,265,268,562,410,2382,993,784,837,5868,1324,Minnesota,2893,1055,819,642,0,211,659,783,4053,1449,Minnesota,1023,520,274,381,700,526,6715,1418,1484,808,Minnesota,4776,1223,2024,972,438,291,366,398,264,392,Minnesota,429,410,498,322,3502,1043,604184,16706,99,121,Minnesota,2514,1763,669,373,1423,680,778,725,112,138,Minnesota,573,424,222,237,2536,967,1295,767,6374,1170,Minnesota,1754,751,479,375,810,528,1377,949,351,262,Minnesota,307,305,475,312,4972,1387,1240,726,4790,1273,Minnesota,1646,861,13,23,2138,1149,2602,1222,234,368,Minnesota,17108,2699,188,230
36,Mississippi,5284,2051,294,385,676,635,2434,1239,2691,1649,Mississippi,359,257,104,175,6,10,0,287,4306,1402,Mississippi,3837,1722,781,835,0,287,3985,1320,1112,906,Mississippi,0,287,222,230,1122,903,10296,2549,0,287,Mississippi,0,287,362,301,2510,1238,949,841,362397,16471,Mississippi,1577,954,472,642,0,287,418,380,60,100,Mississippi,115,140,145,187,778,382,944,705,0,287,Mississippi,1619,1133,796,555,171,205,1320,860,101,78,Mississippi,237,419,480,349,864,1110,10273,2655,5024,1942,Mississippi,1409,1383,0,287,3321,2080,459,576,379,436,Mississippi,757,455,0,287
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Missouri,1419,780,922,623,2865,1122,6799,1512,8248,1823,Missouri,4457,1854,134,148,1000,1094,94,116,7140,2334,Missouri,5278,2251,869,905,356,305,20865,3431,3117,1205,Missouri,5229,1921,18794,2773,1425,954,1584,888,292,300,Missouri,1052,476,694,730,5135,2163,2632,1335,1602,906,Missouri,814514,22131,336,298,1991,846,604,357,179,163,Missouri,658,413,153,175,2565,973,5213,3022,1575,1566,Missouri,2499,926,5271,1698,809,467,1302,678,135,128,Missouri,101,120,907,560,54,92,3307,1393,15983,3192,Missouri,1095,636,622,513,2080,774,2368,1203,646,673,Missouri,1992,1048,1382,1030
39,Montana,80,109,893,682,1986,929,1175,1053,5689,2095,Montana,2044,774,127,234,0,235,36,62,392,402,Montana,782,726,0,235,3190,1627,861,561,165,212,Montana,592,490,190,183,495,589,171,274,211,322,Montana,201,195,564,912,1307,897,859,508,127,191,Montana,1120,759,119342,8833,323,473,1286,731,0,235,Montana,387,629,106,113,265,264,843,700,1248,662,Montana,429,373,164,152,2102,1263,213,265,75,125,Montana,0,235,241,284,580,595,325,295,1578,767,Montana,556,513,0,235,640,523,6571,1850,1157,1262,Montana,1235,836,813,482
