4,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
5,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
6,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
20,Georgia,18302,3493.3608822,2137,1324.3786096,1747,734.82188667,1720,1296.5934454,16980,3373.6720835,Georgia,3921,1738.1700058,3345,1649.9325809,666,543.5536538,651,448.80577537,43170,6119.2996409,Georgia,1320162,37924.363858,958,683.1857499,504,384.69337064,9567,2741.226613,7054,2631.5748617,Georgia,1179,703.57151921,1472,989.35933158,7156,2625.578311,3742,1419.5517468,273,200.03396154,Georgia,8479,3303.0206062,4527,1754.9913613,9173,3995.6994128,2024,1094.3132995,4905,2252.0251569,Georgia,2879,1116.5274968,649,544.62395074,494,358.83800149,1952,1049.3184096,168,168.43386269,Georgia,5015,2053.421451,388,390.5061616,12563,2950.5430278,14348,3207.2692022,357,429.1156787,Georgia,11264,3540.0427519,2360,1217.4470963,3291,2126.1829272,5786,2423.9903626,2231,1263.6140606,Georgia,246,269.31091765,13214,3228.4455432,202,200.73853511,13459,3147.7608428,16366,2947.7226124,Georgia,485,460.14446223,261,270.56149689,12788,3521.3587519,3134,1233.5565328,710,542.60269518,Georgia,962,559.20371083,997,1297.6461317
21,Hawaii,1163,1561.300169,1245,741.28808962,1153,561.30982052,281,338.55223026,11820,2846.2552545,Hawaii,936,497.96842684,299,375.7183241,139,160.51230273,214,329.73941909,2843,1195.3464687,Hawaii,1163,729.45076192,144013,11083.343215,496,650.03200645,1271,740.26142352,102,121.31582242,Hawaii,256,310.4466297,78,125.43974438,612,602.69430439,121,142.44930666,322,385.22496765,Hawaii,239,236.20676378,1052,1170.1990518,2468,1972.8168219,633,661.30708405,68,110.75749696,Hawaii,140,170.6837129,758,1219.4629761,55,95.538252162,1663,1282.5520242,222,250.04,Hawaii,763,790.91216804,634,588.20965445,2038,1150.7954895,1912,1428.8503048,0,275,Hawaii,244,279.88745654,737,836.72597956,1392,1039.5044478,137,161.96735492,0,275,Hawaii,202,333.31755417,211,255.63876908,280,334.48740086,231,195.35232113,3161,2016.9052451,Hawaii,917,724.98044649,387,564.83848339,3270,1401.0859586,4758,1457.4101215,71,117.7037446,Hawaii,65,104.40761998,48,79.837596955
22,Idaho,74,130.64604085,710,433.54535969,4727,1933.5585691,586,684.38880183,10088,2555.2561314,Idaho,1334,808.21605571,474,343.81916717,0,263,0,263,2139,1082.9317493,Idaho,331,294.39434012,320,363.03662985,192170,9923.4121682,357,303.20009731,112,144.76093466,Idaho,342,429.04551816,587,439.47984524,74,119.76966989,204,348.24984127,358,463.41463143,Idaho,314,341.51424219,179,168.1721885,332,224.84899595,390,346.35434959,27,36.985073171,Idaho,281,239.97359007,1713,754.28012636,177,363.46590486,2838,1446.3546854,0,263,Idaho,422,533.80921683,521,438.18891098,268,300.09687705,920,1014.5434645,227,372.91482416,Idaho,583,478.64723043,435,304.40457203,3208,1559.6299133,171,167.28444917,80,128.52493536,Idaho,65,112.94096088,12,19.770819691,263,215.18838492,104,121.03220949,1744,936.78381044,Idaho,4599,1405.2076828,0,263,1114,708.14078384,11906,2740.4670128,0,263,Idaho,796,800.59008316,1284,820.8347257
23,Illinois,1959,1056.3332629,572,363.38474466,5238,1981.566208,2061,814.43233985,12828,2025.8954406,Illinois,4698,2177.8199359,943,595.22114995,749,607.23108967,1241,837.0394633,17472,3478.6314464,Illinois,6397,1859.8969733,2151,1434.7900857,720,604.4306215,1412042,29224.379554,19672,3359.4409942,Illinois,11109,3452.2379915,2322,1248.1429776,3818,1739.4145914,1761,1087.3711305,418,379.38386462,Illinois,1690,775.02355493,3518,1575.0277549,11703,2308.9052347,4761,1500.0188015,909,559.40751944,Illinois,10379,2422.6676556,100,122.31711623,174,172.42079879,2485,1204.9955118,299,274.02510529,Illinois,2293,1023.9811851,1008,729.11783539,9262,2592.7323748,4430,1215.1591172,562,535.13331643,Illinois,6915,1777.7424507,1804,923.77039832,455,376.23904753,4363,1592.2743914,530,591.90668326,Illinois,717,465.99165589,2150,1219.0184234,303,263.65275668,4949,1876.4556893,11722,2440.7999799,Illinois,681,529.15536062,370,311.26186464,5454,1616.9729139,2659,1157.2844487,724,483.48156353,Illinois,12412,1985.190028,241,187.07165369
24,Indiana,2729,1480.2097204,201,248.23180815,3790,1297.5951443,873,649.6187062,5806,1596.5347901,Indiana,2900,1900.7582075,400,362.63818861,87,102.20799485,179,173.63206826,7823,2485.5356389,Indiana,2744,1312.6043488,458,295.23259129,1187,1401.4053236,28173,4299.4635736,833652,21799.536347,Indiana,975,582.00718383,711,400.6898888,8527,2171.867435,993,825.79761874,207,248.21545581,Indiana,770,436.86117918,457,322.81862412,12383,2349.8006228,868,576.78401149,298,238.51677486,Indiana,2379,889.59776428,26,52.741429624,600,427.37166484,282,247.58069754,1559,2096.8652784,Indiana,808,469.62733319,357,261.66076557,3470,1331.9582878,1184,566.88953118,0,269,Indiana,13772,3116.6196438,629,373.96878045,71,87.399672032,2389,1012.1569504,196,195.86003065,Indiana,139,211.63422074,1378,1025.3963378,303,486.09068058,2960,1114.4983047,6906,2121.5422527,Indiana,1500,962.07069439,679,762.11005433,2043,929.20690273,1010,730.02497903,1100,903.39485103,Indiana,2906,1100.7661036,570,494.68790529
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Iowa,261,404.38637215,440,401.01054769,2142,1062.6370868,590,434.16330771,3510,1066.7871293,Iowa,2691,1147.7103227,1059,1159.0138736,85,100.75809641,308,506.86131228,1403,697.97536094,Iowa,1629,1083.7315682,502,468.73711413,314,306.2504501,11981,2319.6129484,2242,963.3796123,Iowa,383846,13594.38741,2310,1045.2861233,1120,746.70018227,1155,852.7463266,311,325.58327712,Iowa,193,212.58371342,193,184.01882036,1203,731.22461187,5480,1426.7808664,638,522.06920044,Iowa,2588,830.2703018,312,301.14869028,7380,1935.1599544,1311,938.78796692,0,228,Iowa,255,203.26303231,141,124.36515505,952,787.97328711,761,454.81870191,1508,1188.4985544,Iowa,835,554.88754156,1273,698.0959241,161,203.24272909,642,498.46445169,385,507.03479319,Iowa,0,228,451,582.87227223,3562,1884.5639009,320,265.55492352,2932,1075.1300185,Iowa,502,321.48451788,17,36.387608227,534,404.05650498,1836,975.49415426,0,228,Iowa,3573,1116.6097147,713,1128.3729984
27,Kansas,1323,848.94990043,947,971.38385197,2689,1338.332866,1292,743.27491486,6776,2265.5509508,Kansas,4231,1419.5497929,0,244,0,244,74,121.71221492,3805,1424.0046803,Kansas,2970,1884.3582704,624,549.86188901,387,512.60150629,2637,1070.8859664,2660,955.49751012,Kansas,2181,1039.7811949,385305,13329.739118,773,819.24798607,1614,978.95392923,4,8.1672220644,Kansas,797,587.34044858,703,916.57696529,2736,1339.9664536,1774,915.53516512,641,692.48306552,Kansas,24307,3964.2029181,233,326.677493,2902,1022.1544086,1983,1005.7615963,175,206.37965718,Kansas,1702,1070.7702911,1145,751.30825676,900,516.59574343,1476,1356.6185446,423,384.8523116,Kansas,2021,968.56441956,6975,1940.4550319,494,469.02322388,168,234.8807131,90,148.98651573,Kansas,663,948.67172819,426,454.62901636,865,556.81111702,2799,1718.3790784,8527,1934.4503031,Kansas,394,393.70678904,0,244,1162,608.93103005,568,297.17688756,0,244,Kansas,237,212.28819009,422,375.04538952
28,Kentucky,1904,915.20503052,1567,1232.4017341,2014,1228.065713,680,474.63196146,2985,903.57650351,Kentucky,1121,871.44525157,191,188.00845981,137,164.35929232,177,170.25630797,7638,1814.313858,Kentucky,4830,1896.1219355,144,233.50020281,129,197.56100725,4558,1479.7234934,10764,1716.5593917,Kentucky,814,486.56183068,1665,1170.8528874,532445,21668.814947,739,527.68295026,147,182.66575093,Kentucky,1273,796.16385572,1311,1022.5473358,4759,2005.3288482,777,658.84745177,1085,679.05333006,Kentucky,2578,1293.0631296,239,320.85850452,163,245.77670795,260,291.09389386,828,892.85623645,Kentucky,287,289.6954291,273,362.73238479,4580,2115.4542343,4162,2129.7996753,0,273,Kentucky,13469,2440.5802329,3014,1878.4109789,393,367.53585292,3386,1401.8394275,923,1056.3597763,Kentucky,0,273,3527,1440.1236093,0,273,14336,3211.3279464,6849,2647.6309494,Kentucky,701,530.29733117,110,179.01424821,4303,1768.9655329,984,694.64096164,4534,2064.0401761,Kentucky,876,484.16335174,0,273
29,Louisiana,2065,1052.1606977,864,840.35964513,1687,880.86785571,1926,1337.0006562,2510,981.46309549,Louisiana,503,400.43131842,34,57.821223504,174,257.31922688,165,149.7948417,9137,2504.4495894,Louisiana,4994,1448.1476534,161,211.33160769,1073,820.03777982,1377,770.26806626,1190,1070.4067583,Louisiana,177,179.13551508,1029,731.7821836,741,486.0773198,538217,19561.570907,292,438.27983543,Louisiana,1170,1086.1279895,287,251.0829949,1378,838.56115768,315,285.07047897,10373,2681.9782558,Louisiana,972,563.53796231,92,159.67095709,98,158.41230425,868,545.05753796,0,281,Louisiana,681,502.18215566,322,323.32557647,1221,626.68638604,1360,717.96863137,190,280.00707571,Louisiana,1736,801.18728216,2119,1060.0235002,285,226.55627755,2225,1183.0160778,271,320.490162,Louisiana,148,177.82822822,929,623.92206581,343,456.18922778,4575,1645.923696,24857,3993.8950223,Louisiana,427,449.74958838,68,116.85522391,1710,1316.5761893,902,1150.6004799,324,396.56869699,Louisiana,543,466.20791737,69,121.15344034
30,Maine,16,26.009733755,139,182.14280607,650,634.1049334,0,230,1320,669.56279221,Maine,544,477.74464856,1394,627.69113232,49,82.280426872,0,230,1781,779.26169376,Maine,699,650.11463497,129,204.85501435,0,230,413,457.85155299,0,230,Maine,59,73.902437426,0,230,0,230,521,626.78752677,137512,7663.1356038,Maine,238,140.88731164,3518,1081.0450143,0,230,264,444.72933236,20,34.644731039,Maine,119,205.46372676,0,230,0,230,0,230,3395,1030.5938128,Maine,938,657.24018819,98,117.92080124,1956,944.81130277,271,198.50726951,0,230,Maine,343,298.97620443,25,41.613948368,277,245.2821323,648,499.71271628,0,230,Maine,437,224.9112677,194,188.47852662,0,230,1090,894.35187173,318,251.09134726,Maine,178,298.6039778,958,709.22491922,869,726.67090665,221,178.04569938,320,393.10905432,Maine,168,205.95767888,95,145.34438436
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Maryland,1118,869.46591322,1497,1160.5322274,3126,1520.24631,316,291.65321146,6639,2385.800586,Maryland,1287,745.36028264,2895,1282.8303393,3935,1167.4162377,21189,3943.9783084,11155,2734.2975789,Maryland,5689,1922.6222426,739,463.45010393,1017,1227.3840408,2733,1560.2271743,1268,1048.9168073,Maryland,263,274.10656275,1419,1261.3266924,1598,1077.7278106,632,553.7549893,1228,667.25659115,Maryland,581828,21960.669731,3290,948.41861208,4223,2593.1646899,908,546.62114875,1466,1210.7302253,Maryland,2403,1899.5241382,0,285,55,90.892762776,206,247.45442533,620,518.54995045,Maryland,6810,2002.9074429,763,872.68133737,11910,2577.5861892,8192,2671.5620715,0,285,Maryland,3517,1359.8148006,853,687.85277174,326,322.70879477,14019,2317.3984719,681,552.05523566,Maryland,676,756.99443348,3310,1146.258144,0,285,2906,1675.6283219,6650,2686.6319336,Maryland,714,541.87521002,889,757.14446648,22050,3568.6967961,1697,856.43967251,4826,1541.3093464,Maryland,1255,742.70429252,0,285
33,Massachusetts,415,326.99707883,1726,1609.9010825,1362,698.6870025,368,590.66393111,11981,2919.6154723,Massachusetts,2117,1162.5763864,11112,2559.3033496,65,107.45577684,1726,742.9378026,13714,3480.6608994,Massachusetts,1954,790.98734968,1798,1779.5778103,149,176.42462033,6326,2682.7513655,1810,997.06657983,Massachusetts,0,283,209,184.47925091,438,378.08402445,64,105.70133074,4228,1129.4238647,Massachusetts,2984,1462.5395637,677839,18441.015623,3521,1315.9509061,1351,688.62281808,164,162.57352822,Massachusetts,1608,1155.9037629,288,244.98463152,0,283,416,355.54763773,10775,2430.4990512,Massachusetts,6850,2071.5556584,344,372.46501793,22409,3867.1376759,3313,1173.8357384,153,186.9754355,Massachusetts,3233,1550.1772515,385,442.96920911,667,445.00974659,5264,1342.2841159,2941,1356.37168,Massachusetts,6316,1543.1481878,566,455.228896,0,283,922,632.06714178,2242,824.72752143,Massachusetts,636,448.70582711,1413,593.45925664,4885,1900.8982901,2219,1363.6181833,190,247.97167819,Massachusetts,819,526.57333904,64,106.2955163
34,Michigan,3334,1382.4637156,1374,824.54466108,3123,1144.6748191,544,414.67901836,6753,1835.2660924,Michigan,1606,754.90320751,646,334.55373282,328,484.92970597,56,92.051677789,12319,2604.0090207,Michigan,2862,1148.9557229,170,205.05635973,251,322.24076268,11330,2331.3632139,6550,1954.3013323,Michigan,716,480.34014084,839,420.43574096,2155,1067.3366082,1189,729.84360343,38,62.543540344,Michigan,1667,1499.5238843,1417,695.79824903,1296433,26268.790281,1242,632.04541416,1492,782.70787161,Michigan,2437,1330.5869027,92,160.85585207,523,369.11926969,1580,759.98759659,334,477.23701119,Michigan,2208,1359.3123335,128,150.87484085,4583,1820.9088595,3009,1061.6328383,309,312.09079424,Michigan,11801,2617.464793,821,678.5029783,1631,1034.1534903,2106,811.76966579,594,473.15616293,Michigan,177,170.05990587,1693,727.48011763,156,181.63362682,2650,1074.4626996,6142,1448.7355393,Michigan,611,524.18345089,247,239.63703707,2054,1029.1901451,3397,2074.613779,220,154.94991905,Michigan,5888,1717.6214545,662,529.39897984
35,Minnesota,526,530.35677598,986,694.91359829,2571,1147.7221114,595,525.10051674,4371,1227.0271016,Minnesota,2426,1170.1323936,851,662.19341679,0,213,138,106.98951515,3114,905.43645231,Minnesota,2293,1494.2103757,331,298.19499007,42,55.133273824,5545,1569.5865576,1206,779.82204863,Minnesota,5738,1490.7287792,934,537.60993452,563,392.57968942,0,213,35,43.444820606,Minnesota,751,413.54527877,253,191.69791366,1868,766.79606591,631602,16820.210061,270,305.57529918,Minnesota,985,492.57876264,661,388.27209979,1486,732.29609755,969,537.46633659,74,87.788149542,Minnesota,815,618.04031399,639,671.96186168,2275,1160.731047,2842,1884.7897528,7160,1659.5777576,Minnesota,1388,696.24097879,1208,734.69096003,1088,533.86130108,1111,742.58951417,0,213,Minnesota,0,213,711,519.06983846,3268,1149.8755917,979,622.43026471,4835,2319.2326106,Minnesota,513,316.26659797,318,378.10996843,1697,973.3365054,2783,1201.7378028,107,104.46203337,Minnesota,17189,2577.1691371,436,388.42870555
36,Mississippi,6446,1767.3306139,0,291,242,225.75190329,3833,1694.9860404,2379,968.85905621,Mississippi,579,761.16978124,738,1012.9509427,89,146.71334384,44,88.757620976,5402,2160.2898538,Mississippi,5185,2387.6537504,171,210.2288118,0,291,4127,1818.385634,513,513.18648199,Mississippi,113,191.18835137,661,623.66547239,818,615.56023089,7145,2289.9540363,127,230.81261076,Mississippi,432,349.47133576,319,372.05830911,2235,1363.3823613,244,194.66022546,359199,16984.21692,Mississippi,1235,1253.9691064,0,291,0,291,522,361.73022609,0,291,Mississippi,232,274.16159454,55,97.212402025,409,293.88812403,1181,611.68556908,77,127.36804888,Mississippi,1419,966.78456768,915,924.52439215,0,291,565,389.81363375,103,168.34989795,Mississippi,190,194.8953625,518,452.41298295,118,146.12193422,9936,2543.6382924,5024,1805.3149911,Mississippi,0,291,0,291,842,538.77893734,517,450.69968055,54,77.247595618,Mississippi,1491,990.43939135,0,291
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Missouri,2676,2005.8976143,814,554.94983802,3269,1194.8693909,5795,1619.1972815,7509,1612.0979018,Missouri,2753,1101.0541799,799,447.05701072,82,115.85285495,397,411.03757564,6801,1978.8328173,Missouri,3512,1522.0767744,1047,863.42130931,311,344.13364615,21245,3798.8555079,2956,1379.2566239,Missouri,5484,1739.0828435,18757,3083.8879099,3358,1540.0698742,1526,794.01561647,509,358.82461583,Missouri,994,581.62533707,716,277.56029965,2304,1255.1212018,1778,756.60746309,1617,970.82159611,Missouri,800410,23739.225918,303,291.75548599,1887,856.92051087,1851,820.50499201,0,259,Missouri,1515,1347.055185,515,343.73356495,2555,1155.698552,2766,1301.8587577,235,320.52435592,Missouri,3895,1653.8978399,4283,1234.1620037,915,618.74614616,2449,1268.921748,66,117.03166339,Missouri,189,181.22122174,707,431.14819234,1320,1072.5912158,3262,1202.0234609,9955,2246.6198078,Missouri,1223,651.2052007,163,270.56974802,4702,1947.2910451,2346,1187.5699796,969,765.09522971,Missouri,5125,2167.2361205,66,122.22527119
39,Montana,0,240,1209,693.94096392,1786,1013.0171252,133,146.17238965,2471,1008.2137096,Montana,1967,903.29090482,39,70.002433333,0,240,0,240,2267,1756.8701272,Montana,599,597.63282417,93,104.34799181,1616,652.8040061,875,583.67812947,303,250.83768894,Montana,34,43.158919226,0,240,171,286.80941785,145,126.61905985,20,32.759876602,Montana,183,260.01019034,238,322.29366275,306,218.48795625,416,252.29683069,395,332.32582975,Montana,265,185.23532708,129117,8783.331784,31,50.921984017,1116,570.84676136,35,64.43488308,Montana,60,99.661751753,471,449.20805686,379,296.829527,565,619.588109,1051,931.52066743,Montana,269,224.6072663,142,182.82493293,1764,819.93267196,199,217.70380214,0,240,Montana,68,83.047251113,131,194.35728951,344,272.19083851,417,326.60976857,902,500.47648263,Montana,1021,792.41905568,0,240,159,267.13503417,4701,1163.3291828,45,52.058467491,Montana,729,937.42342438,885,572.43872805
40,Nebraska,58,77.051174869,364,419.30240077,1972,1245.6579344,279,257.29162032,4272,1651.5438719,Nebraska,2393,763.79273807,288,285.89371193,79,83.527294678,69,97.768233127,4052,1509.2883516,Nebraska,1024,642.37450096,123,147.14108917,177,232.33987221,1472,624.1905842,195,254.12934118,Nebraska,7080,1675.3076466,4783,1939.4861836,250,172.12195561,117,181.62990221,0,228,Nebraska,354,449.22432134,309,490.58977613,1465,791.32066296,1757,732.98050953,418,496.6032683,Nebraska,2973,1455.8136151,228,220.39777283,253941,11376.086071,387,462.94798102,408,417.28514327,Nebraska,22,35.317732427,298,342.07378481,515,392.2152288,94,93.389070961,682,547.07009468,Nebraska,191,173.88669341,227,195.64368894,138,145.36998189,240,306.31715454,107,216.36847023,Nebraska,0,228,821,670.73863887,1191,641.00048228,314,338.99155647,4072,1604.6972049,Nebraska,276,270.60599998,265,352.48112508,941,784.84499822,2281,2782.6564438,0,228,Nebraska,908,1017.7840464,2285,1133.0262166
41,Nevada,460,413.39115111,1188,1224.9582272,7681,2486.4213091,717,585.15669841,39762,4656.58225,Nevada,2293,858.951679,386,396.39448641,0,302,167,211.01060768,5438,2067.0246829,Nevada,1409,1082.2288598,3073,1611.9688982,3050,1584.5627191,2451,1139.8744972,940,635.397407,Nevada,491,509.6569997,348,398.02252889,643,542.9068243,290,405.46447063,0,302,Nevada,329,327.80128436,192,216.71306419,2516,1658.1727699,1863,673.23632232,567,407.42568841,Nevada,1193,993.14189493,345,275.13995799,271,271.94193502,427802,19187.576067,763,1253.6812544,Nevada,505,357.94005541,1544,1449.918388,1638,1176.1520503,2412,1669.8555756,637,650.81052486,Nevada,549,357.08816424,352,429.58726977,3268,1424.9647168,1079,521.74021838,738,864.36853326,Nevada,169,167.08252934,0,302,346,370.11732325,292,318.7337669,4991,1488.1911881,Nevada,5331,2364.4912362,0,302,1915,1283.8153229,3206,1600.1360279,20,33.470798467,Nevada,968,941.21165899,471,484.02430355
42,New Hampshire,347,363.43035296,18,31.131380531,207,315.49731996,261,393.28798849,1231,722.40592195,New Hampshire,523,531.44359455,2113,757.78358313,0,255,0,255,1839,681.17084353,New Hampshire,362,299.03593487,52,87.538887908,0,255,536,480.93214486,321,331.31235203,New Hampshire,0,255,68,115.89722557,0,255,58,96.445972628,1792,1026.0984024,New Hampshire,449,469.79814747,14984,3215.8477309,213,320.17549106,0,255,187,161.22216918,New Hampshire,130,152.55989324,452,434.30959653,0,255,0,255,131787,9196.5346004,New Hampshire,737,368.64097656,0,255,2370,1294.0803168,761,605.80673428,0,255,New Hampshire,537,545.05741384,0,255,249,262.40818081,804,556.47313256,0,255,New Hampshire,1256,615.12882858,0,255,324,541.41783315,133,185.30433976,820,716.52242223,New Hampshire,209,331.04659442,2109,778.84791641,1241,850.93355275,147,150.67337967,0,255,New Hampshire,100,134.34776534,0,255
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
45,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
46,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,New Jersey,250,252.75252363,1116,968.24069778,1270,755.81672743,0,279,6156,1813.2355656,New Jersey,524,331.33644556,4343,2582.533983,2693,1264.0567909,860,519.6203232,13935,3975.3539482,New Jersey,4958,2409.7362668,699,700.76864847,342,525.37872376,2509,1174.4771238,545,384.98482943,New Jersey,128,206.80110156,61,85.268301679,59,98.640350726,174,264.60094734,588,497.71418052,New Jersey,3089,1092.15668,3982,1481.893573,800,434.24790885,722,526.89224173,295,414.73236162,New Jersey,314,276.21798434,0,279,137,230.73551321,299,287.04448699,477,334.84761932,New Jersey,663534,21716.170279,360,414.78129436,41692,4979.6888602,3499,1721.0732215,53,91.79704326,New Jersey,2122,938.32276566,277,308.96936343,199,220.8837494,19947,3271.577493,5506,1852.0753582,New Jersey,534,417.39715375,1326,939.12976524,0,279,494,540.25754567,3368,1155.6283059,New Jersey,129,148.68243115,65,106.08783426,3378,1118.0010476,1060,662.33489526,683,873.68418549,New Jersey,117,141.71128406,78,128.4464835
49,New Mexico,2420,2011.9652978,588,831.39372465,9402,2548.9275,290,306.64869418,8439,2347.5148564,New Mexico,3269,1375.7762065,42,69.036124828,49,80.40584325,366,392.03425194,1911,792.12514977,New Mexico,1347,800.658695,263,302.13169155,200,215.64437952,1807,1223.8327385,1434,1124.8908854,New Mexico,647,469.59304763,234,261.71324458,123,215.30844406,45,67.240066701,63,100.79904448,New Mexico,670,816.44790407,821,474.66759332,683,494.02954297,516,421.05396992,436,433.21083589,New Mexico,1941,1602.0274445,763,577.82389982,934,851.15795633,3274,1242.4837019,0,283,New Mexico,879,786.99076284,237011,13780.413397,300,270.87386394,510,554.84779496,194,171.26693753,New Mexico,976,888.5534157,1180,863.21780567,1012,789.11920518,452,383.40764937,305,340.10449592,New Mexico,0,283,668,537.8245677,0,283,54,87.174136116,9796,2681.9460192,New Mexico,2710,1523.3059728,166,203.419399,1196,659.01254094,1001,808.65529675,102,178.6859244,New Mexico,262,317.23708779,57,99.331987075
