4,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
5,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
6,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
10,Arizona,392,343.45319141,2249,1200.924924,1055904,32273.726078,1818,940.8110082,46921,5970.4117551,Arizona,7836,1844.1737633,1418,830.71653065,131,163.88526638,890,805.86567178,4931,1833.2910236,Arizona,6076,2100.293554,3943,2465.4359229,2737,1506.2753994,13111,3640.2908183,4992,2368.3329853,Arizona,3219,1524.238084,2461,1414.9571991,830,629.83181188,1741,1217.1971276,806,475.63205823,Arizona,1265,747.44200447,1764,812.54483182,10923,3387.7105997,6161,2350.9557657,388,419.14151303,Arizona,3606,2311.2747885,1149,689.13230113,3224,2557.9888846,8666,2796.599303,1114,930.21230128,Arizona,2094,1166.6210802,8707,3067.7178906,4775,1872.3212665,3996,1948.1853829,1039,708.39724279,Arizona,4829,1596.8512881,1594,637.33337892,5407,2119.6175764,4344,1629.6966515,467,458.18801908,Arizona,282,374.82435909,914,597.40491386,1191,844.68835884,215,203.54706475,12278,3474.7884848,Arizona,7997,3412.7150137,61,100.45819845,4521,1412.1810988,11148,2587.9010915,781,725.53293316,Arizona,3795,1486.7360388,1260,861.21138895
11,Arkansas,443,320.68683276,968,1088.8843869,1365,842.0760463,416745,17032.841644,4837,1641.4070151,Arkansas,2497,1376.7800942,153,148.32664986,0,273,0,273,3264,1328.4482146,Arkansas,1090,868.80811655,396,326.95011267,499,603.1229355,3758,1561.6919501,1032,1033.4129075,Arkansas,292,230.7932655,2776,1693.129026,1684,2142.736203,4905,1603.3012142,424,577.60421922,Arkansas,654,579.59515504,224,273.9614035,1905,1118.9558561,1130,715.97753362,3059,1592.1242785,Arkansas,7652,2878.9857423,0,273,198,190.97663614,2079,1431.8799953,165,268.39197119,Arkansas,315,361.38744385,574,558.88254642,1803,1339.6720327,1245,854.9588206,0,273,Arkansas,1128,990.62659396,7538,2141.8878197,798,817.90055086,236,281.37819968,304,332.71238254,Arkansas,0,273,796,455.408379,155,223.31321842,7667,2900.5240635,14036,2630.3794588,Arkansas,499,575.19854341,0,273,191,171.4856285,520,591.05882408,29,56.614055775,Arkansas,459,393.02403206,115,139.51500932
12,California,2889,1476.3954271,5332,2553.4746638,34040,5056.4858261,3539,1668.2062117,5238440,64851.620159,California,16798,2956.1198099,4906,1674.5496849,453,393.80111239,1951,990.15144961,18769,2998.3703846,California,10819,2896.6793042,13042,2986.2878695,7446,2104.5591196,16415,2701.6394713,6411,2461.0968916,California,3576,1931.6046425,4782,1493.8410206,1996,881.45418195,3171,1208.4004738,1216,715.27212355,California,11905,2485.0794279,10171,1811.4935391,10741,1956.3375429,7126,2046.9051028,2516,1227.6259838,California,8651,2525.7363963,2102,1066.9291701,2400,1069.9834185,32333,5351.8654725,1817,994.77979877,California,6142,1858.5999577,7057,2462.81182,26083,4456.5628398,10802,2550.9469076,741,627.33331869,California,7657,2258.6845005,2766,1003.9503867,21270,3094.7241424,8111,1997.3303186,1479,771.91447529,California,1264,741.77818121,5219,1649.1323958,917,542.47413692,7010,2614.6798934,35104,5122.7681074,California,13401,4200.1988941,1046,751.52208028,14464,3449.0499675,33408,4711.1601559,835,627.75924364,California,6958,2525.644363,1114,685.40529414
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Colorado,1774,1152.9182329,1215,707.61315105,9378,2408.3397485,2463,1157.0398999,21223,3247.5243825,Colorado,721050,23974.773318,1344,732.69655432,253,293.45573601,1057,863.32171841,7085,1572.8594188,Colorado,4499,2078.6722438,1818,799.22515875,1446,804.19632032,5686,1790.9027439,5621,2743.3386393,Colorado,2852,1080.7855936,3934,1421.9777638,494,379.92787665,1204,695.95379541,639,651.25495984,Colorado,1949,1233.8331245,2544,1541.3170713,5684,1973.5568284,4494,1458.1987422,946,618.73105774,Colorado,4087,1842.9186895,1283,741.17884226,4118,1788.2727965,5320,1763.3530676,577,769.38067423,Colorado,1540,1107.3048411,8038,1892.4867808,3996,1266.9298861,4565,2013.1102106,227,197.75370083,Colorado,2316,840.41116483,4206,2215.1485038,2646,1061.5455339,2613,998.65205134,213,262.61151163,Colorado,449,416.53011185,1919,1548.722465,1010,630.6001884,1755,824.35626184,19214,3557.2964493,Colorado,5259,1614.794122,324,315.02093601,4172,2097.7379008,4325,1492.3978169,468,582.64091029,Colorado,2982,1256.9314644,5630,2795.7540624
15,Connecticut,1963,2175.8736859,504,496.09106421,629,661.62944988,14,21.589645811,5041,1588.6640197,Connecticut,1815,861.35277251,308232,11986.681546,409,587.97406458,239,204.92138116,6286,1764.7880548,Connecticut,2216,1843.5387738,369,375.94728654,0,277,1514,748.82551985,583,473.30740882,Connecticut,0,277,766,555.17762991,470,329.03392638,114,130.52637052,234,199.40731797,Connecticut,2796,1907.6196238,8136,2183.2210762,621,364.81968725,14,21.720853085,261,219.52985706,Connecticut,192,205.46669006,75,135.07193067,0,277,153,114.5574504,2932,1570.5180369,Connecticut,2415,971.61030641,120,126.8597934,19313,3499.0198507,1426,794.85984664,0,277,Connecticut,1458,1022.1953759,125,199.31094527,161,160.80747962,2799,1044.4100336,5205,2183.0065144,Connecticut,2123,1342.7556729,857,644.35156055,0,277,509,444.82363453,1312,602.85670392,Connecticut,425,437.08813929,1032,541.72125377,2478,1427.7176663,1163,574.20515244,0,277,Connecticut,74,99.368076476,205,331.85912969
16,Delaware,365,326.62592429,143,225.4934415,494,518.27121051,0,263,575,606.37063024,Delaware,178,177.1776496,809,504.34181598,87909,7919.5873548,82,79.290877052,921,504.19826954,Delaware,800,738.1995006,0,263,0,263,724,618.53192176,62,102.60831725,Delaware,0,263,48,79.824885648,0,263,90,149.6154404,72,119.35095685,Delaware,4573,1828.5091826,1812,1288.6943544,262,350.25503634,0,263,0,263,Delaware,0,263,0,263,60,127.77531544,0,263,273,346.92948601,Delaware,3851,1407.9765356,54,87.043663741,3351,2236.8718226,317,239.79958936,0,263,Delaware,859,681.48560002,0,263,55,95.012813353,9068,2424.5769064,206,219.74761916,Delaware,43,74.042361853,444,531.43939377,59,89.581540725,234,211.76076758,429,352.34291058,Delaware,496,584.77077682,0,263,3215,2537.671341,14,22.30780127,47,65.888359423,Delaware,0,263,0,263
17,District of Columbia ,203,167.53822286,240,279.343814,32,54.042694071,106,126.7776431,2980,909.75973585,District of Columbia ,505,508.12343197,288,283.73365143,571,530.94168415,47156,5403.420082,2275,1048.6983376,District of Columbia ,900,542.66253733,145,169.99783702,0,296,1370,515.90069228,0,296,District of Columbia ,33,55.794364948,95,114.22271637,114,192.05366194,0,296,390,475.57445034,District of Columbia ,9960,2471.4285323,1084,476.78020043,259,268.47765759,194,177.05848053,0,296,District of Columbia ,102,114.67962679,66,89.439453284,57,94.296674643,147,150.25704104,72,99.348331069,District of Columbia ,1232,806.81414315,0,296,3647,1011.6751337,1276,847.39952073,0,296,District of Columbia ,373,288.89192883,57,93.579393051,285,252.7750057,1705,704.23639262,147,168.12189724,District of Columbia ,68,112.19334156,345,385.51514713,58,95.993890079,89,142.80646628,819,571.01821851,District of Columbia ,76,125.95480446,161,152.64323654,5586,1517.5671986,190,187.17288255,207,296.95097855,District of Columbia ,344,307.37827522,54,89.541506981
18,Florida,9179,2237.9129516,5863,2472.2191596,6104,2396.8168502,2211,1119.8246732,22213,4231.2463957,Florida,10293,3506.7458375,10045,2433.5060515,2957,1323.3367597,1544,877.91054702,2454080,47671.290586,Florida,33835,5068.731509,1466,1024.2767229,577,454.08734464,18482,3138.4817651,14608,3286.6634202,Florida,2009,870.34227981,3021,1235.6441891,6699,2376.1777879,4864,1703.4361821,4735,1737.767092,Florida,6800,1734.9197432,12919,3636.2326306,19440,4757.6891373,5025,1560.841327,4695,1459.2819941,Florida,6812,2050.0882045,828,539.987255,1250,614.2362596,3381,1256.0603756,5891,2497.4541747,Florida,15674,3046.0855926,1676,955.59528195,53482,6261.2074082,25128,5185.2509179,574,559.85744977,Florida,21346,4283.0733145,2441,1013.4398296,2869,1506.0456543,21680,4110.0865045,14783,4363.8802799,Florida,3471,2296.6486507,9760,3108.7458777,913,693.80895318,11927,2449.9826705,19680,3903.4410685,Florida,2510,1848.4720145,1322,778.49483789,19597,2809.9965644,8343,2672.1504762,4312,1982.4335832,Florida,6214,1727.9362595,423,391.07985194
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
