4,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
5,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
6,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
10,Arizona,1805,1432,3715,1882,935748,26598,1163,690,85497,8213,Arizona,7030,1973,1392,758,589,761,352,383,7667,1829,Arizona,3084,1350,2840,1982,4668,2156,9344,2603,3537,1489,Arizona,5035,2047,1714,831,2744,2274,2609,1136,1430,1035,Arizona,2763,1239,1824,805,10422,2981,6189,2557,1068,962,Arizona,1583,722,2609,1434,1991,1013,10495,2357,1536,1293,Arizona,3467,1242,8583,2466,7128,1654,3490,1235,891,600,Arizona,7860,2634,2754,1104,7224,2203,5623,1935,601,963,Arizona,858,810,1804,827,2530,1298,1776,825,17130,3101,Arizona,7727,2475,316,356,3580,1869,11774,2709,52,85,Arizona,4367,1378,1442,1031
11,Arkansas,2678,1589,751,515,4212,1347,416998,16572,9141,2135,Arkansas,1766,1145,50,85,88,148,324,456,3666,1079,Arkansas,1587,692,853,615,392,399,2814,993,866,655,Arkansas,889,717,2030,1094,1755,863,8216,3197,0,257,Arkansas,341,388,891,745,1961,1178,1838,1479,2767,1371,Arkansas,10798,3072,130,126,554,414,540,514,51,104,Arkansas,1643,1254,1551,1331,1546,1166,1496,901,138,186,Arkansas,1706,963,8457,2294,486,357,635,515,206,265,Arkansas,0,257,974,585,0,257,6862,2370,15022,3182,Arkansas,525,484,153,251,1157,888,1107,1021,739,1103,Arkansas,471,531,84,94
12,California,4133,1949,6376,2801,31915,4153,3709,1700,5173950,62817,California,15885,2639,5596,1585,1339,1188,2044,773,27196,3667,California,13384,3136,14421,3382,6486,2253,25149,4840,6972,2263,California,2380,1260,5018,1695,1709,927,10561,2733,2288,792,California,10140,2165,13846,3006,10693,2169,5647,1610,4660,2317,California,5847,1471,1874,637,2504,888,28855,4212,1323,693,California,8843,2207,4829,1726,31703,3689,10901,2607,1934,1672,California,13165,2797,8025,2193,25374,4733,11747,2533,2303,1540,California,1664,866,3426,1276,367,251,6469,2199,49027,6617,California,9726,2085,1658,1129,14710,2772,34105,5293,530,460,California,10213,3168,1739,1141
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Colorado,1285,587,1821,890,13714,2911,893,526,34803,5945,Colorado,722843,26741,675,404,345,472,378,326,10327,2660,Colorado,3039,1276,2351,1073,1328,685,6728,1472,1433,700,Colorado,2447,955,4667,2095,209,162,2246,898,718,381,Colorado,2275,897,3951,1641,3531,1453,3785,1332,1369,1033,Colorado,2856,1216,1517,730,5722,2246,2815,1080,405,323,Colorado,1650,712,5922,1679,3920,1620,4152,1477,590,405,Colorado,4921,1727,3708,1351,4133,1622,3490,1253,0,271,Colorado,508,584,531,448,1139,648,1057,546,16928,3057,Colorado,4678,1510,494,478,4371,1264,5839,1909,155,179,Colorado,2303,916,6646,2289
15,Connecticut,496,468,0,269,262,211,0,269,2727,906,Connecticut,660,332,366706,14164,160,263,284,213,6999,1940,Connecticut,1299,815,320,449,0,269,1607,1323,236,245,Connecticut,113,140,301,333,199,191,269,217,1030,557,Connecticut,1363,976,11956,2204,932,634,353,297,0,269,Connecticut,485,515,49,82,487,404,55,91,945,564,Connecticut,5064,1738,147,158,24838,4496,2542,1170,0,269,Connecticut,1941,1090,101,116,440,521,2425,839,2448,1185,Connecticut,3963,1676,1688,1405,41,67,362,342,3882,1867,Connecticut,654,813,1108,520,2458,1204,593,564,76,123,Connecticut,160,185,0,269
16,Delaware,0,261,0,261,55,93,204,329,325,256,Delaware,160,131,589,703,86261,7952,23,32,1613,677,Delaware,979,730,0,261,0,261,571,426,391,289,Delaware,136,182,0,261,99,163,136,224,283,286,Delaware,7065,1637,301,273,211,337,0,261,375,548,Delaware,239,273,0,261,28,46,53,88,87,146,Delaware,5245,1974,0,261,1523,683,614,585,0,261,Delaware,291,367,0,261,54,93,7588,2275,0,261,Delaware,413,523,135,167,0,261,176,210,292,242,Delaware,70,82,0,261,893,541,207,238,203,245,Delaware,0,261,0,261
17,District of Columbia ,0,292,288,356,225,215,174,280,2672,1258,District of Columbia ,135,166,1033,572,2474,475,58569,5619,892,524,District of Columbia ,921,710,123,202,130,106,1796,694,627,758,District of Columbia ,117,193,359,359,536,563,274,316,113,188,District of Columbia ,10842,2460,755,515,719,752,68,79,440,361,District of Columbia ,276,219,27,46,0,292,49,82,265,201,District of Columbia ,784,370,181,217,4831,1471,1730,916,0,292,District of Columbia ,1169,694,154,186,154,194,2918,1152,100,124,District of Columbia ,189,205,502,403,0,292,50,84,2015,1154,District of Columbia ,201,201,0,292,6737,1636,464,323,205,253,District of Columbia ,266,256,0,292
18,Florida,13015,2462,4995,1648,6030,2457,3232,2024,27658,4016,Florida,9275,3082,13989,3175,1685,1013,1340,707,2485338,43189,Florida,34679,5014,4274,2047,1358,774,26188,4263,13454,4171,Florida,2818,1646,2274,1262,8999,3150,15995,3499,5652,2478,Florida,14340,2711,27188,5176,30983,4937,3950,1514,13291,3245,Florida,8085,2393,713,624,1390,808,4163,2026,3284,1427,Florida,36055,5076,2131,1239,87576,7883,23862,4207,402,422,Florida,21113,3663,1783,857,2323,1127,21007,2960,20687,4268,Florida,2071,830,9728,2343,422,404,12387,2898,30708,4393,Florida,2250,1276,2404,1232,19783,3250,5452,1717,3592,1478,Florida,9286,2607,389,310
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
