4,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
5,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
6,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
30,Maine,80,131,220,195,164,169,38,65,1123,665,Maine,403,366,3181,1169,0,223,0,223,4621,1493,Maine,0,223,115,135,0,223,50,83,351,326,Maine,0,223,56,91,51,84,314,273,150926,9370,Maine,391,328,7107,1939,996,696,168,218,152,251,Maine,0,223,0,223,0,223,0,223,4271,1775,Maine,1069,490,126,167,2829,945,667,382,30,53,Maine,1720,1387,14,23,170,184,1188,649,87,108,Maine,612,439,239,273,41,69,481,525,1647,1281,Maine,35,60,522,352,1962,919,75,100,95,122,Maine,172,159,124,214
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Maryland,1486,1033,183,276,1504,675,116,143,10194,2528,Maryland,1913,1079,3683,848,4622,1322,22286,3665,7965,1876,Maryland,3797,1357,1627,1161,222,213,2655,1027,1206,1062,Maryland,283,469,189,213,1167,771,3975,1901,477,481,Maryland,621491,22568,3214,1133,3159,1254,574,614,1417,487,Maryland,1707,1977,179,172,114,135,1605,902,1395,1338,Maryland,8935,1979,366,280,15819,3764,7270,1919,48,79,Maryland,4245,1327,305,335,829,1254,14470,2120,189,228,Maryland,1092,1139,4113,2568,0,277,808,617,10054,3557,Maryland,1554,1114,643,484,22977,3390,937,529,2719,984,Maryland,621,376,0,277
33,Massachusetts,364,303,1531,1128,1404,763,443,430,11605,2768,Massachusetts,2711,1575,13185,2404,104,125,1030,469,9685,2495,Massachusetts,2160,1113,316,218,186,179,4220,1764,1680,1494,Massachusetts,501,410,125,128,420,462,1564,661,4438,1479,Massachusetts,2574,892,719437,23086,2065,905,1544,1338,52,85,Massachusetts,1306,749,164,262,337,418,812,843,9209,1831,Massachusetts,7841,1838,576,443,19563,3089,2883,1461,131,214,Massachusetts,2395,891,665,467,737,536,5515,1610,4214,2073,Massachusetts,8885,2608,1371,847,54,89,1636,962,3393,1237,Massachusetts,253,279,2091,718,3533,1624,1990,806,345,560,Massachusetts,1545,884,105,174
34,Michigan,2181,988,1363,785,2602,1008,1313,826,9623,2134,Michigan,2812,1550,733,335,96,115,152,180,13738,2940,Michigan,3718,1178,499,455,508,419,12623,2475,7867,1619,Michigan,1537,809,2133,1263,2992,1273,1784,906,510,576,Michigan,606,342,2243,1242,1272755,26575,2068,876,1719,1438,Michigan,2101,934,286,229,1108,691,2834,1341,227,263,Michigan,2006,1189,388,326,4739,1497,3518,1234,261,249,Michigan,12493,2220,1092,992,1009,570,3792,1187,0,235,Michigan,223,345,2090,1267,122,145,4260,1681,9667,2655,Michigan,724,383,624,820,3526,1447,1983,1000,128,138,Michigan,3723,1081,424,410
35,Minnesota,249,291,1241,724,3315,1231,166,147,9997,2568,Minnesota,2698,931,1119,791,37,53,87,123,3979,1187,Minnesota,1428,776,515,439,220,153,9964,2268,2606,1211,Minnesota,5317,1108,1226,682,318,230,2087,1532,61,86,Minnesota,774,665,1419,805,2043,762,611078,16439,224,184,Minnesota,3327,2161,1208,674,1414,634,2132,1281,66,103,Minnesota,569,391,668,304,2496,804,1245,804,7567,1955,Minnesota,2455,981,525,392,538,283,1451,938,939,988,Minnesota,463,467,667,517,3245,1074,1011,693,6863,2442,Minnesota,923,705,271,438,1468,908,2352,1035,80,102,Minnesota,16941,2947,302,251
36,Mississippi,5924,1785,77,143,659,809,2508,1029,2747,1102,Mississippi,616,550,149,168,13,21,149,201,4217,1468,Mississippi,3082,1495,178,287,0,283,3095,1260,1829,1040,Mississippi,308,351,351,255,127,130,19184,4553,68,117,Mississippi,767,502,13,23,2142,1114,105,185,409898,16206,Mississippi,2162,1395,0,283,0,283,569,552,0,283,Mississippi,668,987,188,294,2131,1145,2678,1949,0,283,Mississippi,744,454,1307,1250,382,437,748,325,251,248,Mississippi,200,236,1486,854,60,100,10789,3188,5059,1840,Mississippi,282,459,0,283,1844,762,816,880,167,201,Mississippi,1620,1545,0,283
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Missouri,2106,1358,1389,1183,3053,1555,8100,2136,12491,2278,Missouri,3930,1671,276,385,0,253,486,268,8422,1909,Missouri,3928,1437,1096,709,557,343,19044,3019,1699,743,Missouri,6819,1712,18617,3066,1483,676,4589,1643,75,90,Missouri,1016,580,1043,546,3649,1595,2607,979,3208,1683,Missouri,846807,22271,361,352,3204,1012,1769,791,295,308,Missouri,1639,1189,1335,1101,3366,1358,2916,1335,230,270,Missouri,3830,1368,5980,1901,1292,963,1481,676,394,392,Missouri,0,253,1928,1186,381,257,4381,1618,10717,2107,Missouri,1749,1226,54,93,1518,863,1706,1048,109,130,Missouri,2473,1091,237,224
39,Montana,588,684,281,258,1867,1111,0,228,3460,1175,Montana,1445,503,309,350,400,497,87,148,1846,956,Montana,292,236,858,768,1139,530,734,314,270,279,Montana,315,312,0,228,119,170,203,240,0,228,Montana,179,215,198,207,354,340,1138,717,0,228,Montana,505,520,126227,6707,296,314,563,564,0,228,Montana,500,580,596,536,823,776,249,265,1374,678,Montana,886,805,20,35,1227,553,495,413,0,228,Montana,0,228,34,59,1557,1058,18,32,902,927,Montana,652,509,168,202,583,433,5901,2254,70,116,Montana,815,586,2366,977
40,Nebraska,124,137,514,599,1238,660,365,293,5170,1677,Nebraska,5254,1544,0,213,51,86,178,254,2184,979,Nebraska,902,632,224,147,1013,762,1234,560,732,400,Nebraska,6444,1500,4212,1640,477,485,547,400,22,34,Nebraska,349,303,8,14,601,426,3141,1395,574,522,Nebraska,1655,841,389,325,259681,11185,265,253,0,213,Nebraska,44,73,322,339,767,536,412,368,746,534,Nebraska,582,548,844,646,911,617,101,86,172,240,Nebraska,95,141,100,115,3795,1455,1160,773,2468,933,Nebraska,645,497,0,213,897,505,439,388,377,614,Nebraska,621,540,1160,715
41,Nevada,260,195,1669,1326,6618,1829,668,612,59811,6768,Nevada,7096,2406,946,870,183,236,160,200,4759,1577,Nevada,1749,946,3865,1860,2590,1406,3669,1490,2085,976,Nevada,1195,715,758,637,523,706,1628,923,70,116,Nevada,1297,936,1120,986,4130,1925,713,544,788,932,Nevada,1651,1188,327,291,473,360,390069,16513,82,134,Nevada,2384,1451,2867,1608,3564,1283,1410,932,179,164,Nevada,3267,1801,457,357,1496,626,1158,649,0,292,Nevada,118,139,963,830,71,117,269,233,4990,1563,Nevada,7182,3296,263,338,1694,860,5361,1867,0,292,Nevada,1418,763,822,846
42,New Hampshire,76,97,488,603,779,566,164,262,1907,983,New Hampshire,254,185,2576,1694,0,251,95,156,4294,1776,New Hampshire,272,231,60,98,0,251,313,310,146,153,New Hampshire,0,251,71,117,0,251,689,748,2137,711,New Hampshire,193,135,15609,3011,132,152,194,161,427,604,New Hampshire,580,223,222,217,0,251,63,74,133427,9440,New Hampshire,558,356,40,68,3016,1067,505,367,0,251,New Hampshire,152,182,0,251,0,251,874,446,728,892,New Hampshire,867,566,158,184,563,710,120,139,871,587,New Hampshire,29,66,1783,794,616,475,1276,1231,0,251,New Hampshire,0,251,335,381
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
45,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
46,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,New Jersey,658,771,379,536,2138,990,208,177,7910,2269,New Jersey,893,566,2871,1150,2330,896,1141,1018,9728,2337,New Jersey,3596,1511,480,437,643,834,2640,1277,790,496,New Jersey,876,1283,279,234,488,450,1044,747,331,300,New Jersey,4029,1530,7050,2049,633,401,728,471,348,396,New Jersey,575,403,0,273,411,292,881,628,788,585,New Jersey,798283,25048,413,355,54781,5341,2462,902,99,163,New Jersey,864,469,767,1058,110,152,23970,3568,4766,1679,New Jersey,1135,1291,1535,1102,87,143,982,578,4490,1934,New Jersey,159,146,504,294,4065,1406,763,852,183,191,New Jersey,678,622,175,254
49,New Mexico,1207,951,1066,778,8173,2517,393,317,8210,2365,New Mexico,4782,1646,166,241,113,189,369,342,3731,2052,New Mexico,1357,828,868,952,278,285,2303,1227,359,250,New Mexico,34,56,1070,607,763,513,870,741,180,242,New Mexico,423,371,883,503,729,442,999,863,441,376,New Mexico,237,217,81,136,1079,955,2229,1655,149,185,New Mexico,834,627,251575,13616,1371,745,547,386,1541,1378,New Mexico,385,284,1570,1222,1211,929,1269,1052,366,360,New Mexico,0,279,340,390,417,362,159,207,13150,2601,New Mexico,1860,1255,342,229,964,731,1763,1102,142,240,New Mexico,294,269,342,342
50,New York,812,449,2513,1271,3761,1116,331,312,23126,3121,New York,2373,811,16439,2575,1726,1161,3942,1179,30809,4004,New York,7254,1809,1240,821,97,106,7110,1850,1618,634,New York,396,294,1188,545,792,550,2555,935,3028,1549,New York,9274,1592,17797,2618,3209,690,1940,679,943,731,New York,1838,826,344,355,456,426,2279,880,3244,1030,New York,37102,4134,1126,607,1905564,28618,6521,1448,0,269,New York,6624,1523,1197,561,1528,795,22032,3141,6439,1596,New York,1901,708,3389,991,304,384,1838,808,10292,2265,New York,803,445,4528,1245,14517,3052,1752,735,656,399,New York,1500,844,198,242
51,North Carolina,2497,936,997,1064,3920,1412,1648,959,17613,3736,North Carolina,3074,1111,5006,2058,443,338,3076,838,41059,5125,North Carolina,16200,2835,2807,2896,1627,1582,6496,1760,4367,1530,North Carolina,762,379,665,500,1456,747,5627,2289,1176,793,North Carolina,16726,3255,4638,1345,6529,1957,1467,632,2664,1508,North Carolina,3002,1422,49,82,564,480,1821,1219,1181,561,North Carolina,14757,2918,1732,1538,40690,6030,1182774,29194,862,859,North Carolina,11878,2935,1906,770,2135,1150,15361,3540,993,1038,North Carolina,1219,1144,24793,4696,222,293,6836,1532,14325,3193,North Carolina,1795,1089,929,656,33832,4726,2952,1343,5050,1842,North Carolina,3489,1305,592,469
52,North Dakota,77,107,147,167,833,804,50,54,1460,787,North Dakota,1285,758,54,98,0,200,0,200,516,501,North Dakota,265,344,107,181,348,408,236,262,0,200,North Dakota,241,213,14,26,175,270,96,119,0,200,North Dakota,68,116,71,115,807,902,9169,1766,552,797,North Dakota,308,433,1735,599,407,456,147,157,0,200,North Dakota,0,200,221,272,410,489,35,59,81901,4933,North Dakota,271,299,702,782,279,215,651,494,0,200,North Dakota,0,200,52,85,1517,755,589,555,737,446,North Dakota,0,200,0,200,386,417,605,326,0,200,North Dakota,339,230,298,351
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Ohio,1834,864,745,480,4530,1638,1260,871,11098,2512,Ohio,2065,936,984,496,2142,2320,662,409,22706,3679,Ohio,6776,1988,106,121,1041,1131,8776,2267,10220,2485,Ohio,1008,763,578,321,14157,3587,3807,1263,197,187,Ohio,5018,1642,4858,2344,15669,3175,1490,671,704,552,Ohio,2233,955,171,151,747,558,1691,730,491,351,Ohio,4436,1594,161,145,8525,2001,9822,2481,707,866,Ohio,1576517,33153,1179,911,635,391,11979,2215,2486,1065,Ohio,489,435,3083,1602,0,261,5847,1618,6331,1831,Ohio,2270,994,84,107,3831,1355,1420,901,6837,1834,Ohio,1184,677,115,139
55,Oklahoma,513,397,1304,966,4549,1777,7936,2569,8947,1828,Oklahoma,2656,1140,279,292,11,17,0,244,3664,1256,Oklahoma,1547,722,810,496,183,161,2278,1103,933,532,Oklahoma,2196,1374,8931,2257,924,827,3122,1276,0,244,Oklahoma,2272,1429,479,437,1264,898,1288,859,1524,839,Oklahoma,6099,1886,657,409,2162,1693,1402,651,127,128,Oklahoma,517,407,2560,1267,2165,1325,625,431,334,386,Oklahoma,1504,744,565972,17491,716,489,1016,541,315,315,Oklahoma,0,244,178,220,365,248,1492,744,28327,3975,Oklahoma,670,822,0,244,1679,888,2193,889,220,277,Oklahoma,440,386,546,430
56,Oregon,42,68,1422,719,8078,2690,420,447,51295,4509,Oregon,4424,1471,268,259,0,269,744,582,3916,1396,Oregon,2079,1381,3269,1821,4196,1450,1399,758,541,514,Oregon,269,356,449,473,502,443,1697,823,131,153,Oregon,863,643,710,408,1960,1149,2533,2204,58,98,Oregon,1170,760,1776,892,1201,931,4320,1493,459,356,Oregon,201,168,1633,878,2555,1433,1225,763,0,269,Oregon,2565,2226,1373,1136,589004,21989,1601,869,152,256,Oregon,73,124,295,249,116,191,927,559,4580,1884,Oregon,3998,2468,380,250,798,485,24230,4096,577,919,Oregon,1615,1317,753,775
57,Pennsylvania,1410,990,1501,923,2405,1254,1153,958,10789,2552,Pennsylvania,1582,855,3708,1089,5940,1835,1845,782,18837,3223,Pennsylvania,4258,1290,242,244,174,208,3360,895,3602,1321,Pennsylvania,774,456,491,360,1236,718,1212,522,1413,737,Pennsylvania,22968,2441,6816,1666,4247,1700,976,543,1196,549,Pennsylvania,1356,843,260,193,448,301,569,432,852,473,Pennsylvania,42717,4370,836,462,43294,4486,5446,1439,66,111,Pennsylvania,14106,2952,942,641,449,333,1306488,24634,6526,1739,Pennsylvania,1065,388,2479,1206,308,289,2598,1093,6461,1904,Pennsylvania,583,327,913,648,11032,1843,2863,1523,2470,754,Pennsylvania,1524,707,0,240
58,Puerto Rico,0,275,0,275,38,64,0,275,1210,705,Puerto Rico,0,275,2652,1239,0,275,50,87,5848,1639,Puerto Rico,310,348,0,275,0,275,875,716,409,658,Puerto Rico,79,135,161,261,0,275,252,294,0,275,Puerto Rico,485,802,1274,747,349,389,0,275,0,275,Puerto Rico,77,126,0,275,0,275,0,275,79,134,Puerto Rico,2284,1043,53,90,8181,1962,55,92,0,275,Puerto Rico,494,744,0,275,55,89,3389,1403,274764,13006,Puerto Rico,86,101,0,275,0,275,102,157,362,595,Puerto Rico,95,155,0,275,489,387,0,275,0,275,Puerto Rico,714,653,0,275
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Rhode Island,98,185,106,127,844,769,0,281,1824,849,Rhode Island,114,139,2976,1148,81,138,82,125,1240,593,Rhode Island,364,438,263,200,0,281,277,280,346,258,Rhode Island,75,124,225,386,0,281,327,362,174,214,Rhode Island,1006,603,8991,2099,153,178,71,118,44,76,Rhode Island,0,281,0,281,0,281,82,98,1851,964,Rhode Island,2093,952,0,281,5256,1362,349,377,0,281,Rhode Island,379,404,0,281,66,109,893,433,933,873,Rhode Island,107653,8818,236,388,0,281,44,56,383,326,Rhode Island,118,173,245,247,575,408,208,215,0,281,Rhode Island,123,200,0,281
61,South Carolina,4779,2356,1317,967,2265,1111,229,193,4096,1189,South Carolina,868,569,2429,1118,361,456,921,888,17342,2884,South Carolina,17998,4214,1729,1494,464,521,4100,1451,2961,1089,South Carolina,601,555,497,303,1825,888,2417,1163,807,554,South Carolina,5677,1884,1592,731,3440,1195,1566,621,1666,721,South Carolina,1741,1178,121,154,348,372,1443,1106,1166,735,South Carolina,6862,2118,215,217,9451,2406,22604,3430,74,130,South Carolina,3446,1011,1538,1037,201,234,4437,1219,216,191,South Carolina,1458,1407,543772,16048,129,161,6454,2821,6219,1661,South Carolina,387,333,0,283,8560,2379,1282,723,1142,582,South Carolina,1690,1232,193,175
62,South Dakota,0,216,116,117,923,630,190,228,1536,940,South Dakota,2196,1224,25,41,0,216,0,216,243,197,South Dakota,245,314,338,436,60,78,647,411,492,370,South Dakota,2760,825,116,116,278,421,448,684,0,216,South Dakota,2,5,0,216,710,595,2869,826,0,216,South Dakota,297,229,746,493,4122,1308,146,144,0,216,South Dakota,200,269,384,377,237,226,14,26,2056,944,South Dakota,492,488,427,409,963,621,187,144,0,216,South Dakota,0,216,68,112,101107,6496,56,109,1293,832,South Dakota,229,267,0,216,17,31,785,492,0,216,South Dakota,224,149,544,419
63,Tennessee,7438,2465,445,481,3087,1408,3598,1606,10721,2193,Tennessee,1951,1093,582,510,60,99,388,230,28514,3624,Tennessee,13868,2484,234,297,673,681,5337,1593,6046,2565,Tennessee,1154,956,1401,821,11921,3103,7087,2104,729,556,Tennessee,2050,959,1614,960,4079,1376,524,353,11443,2903,Tennessee,5073,2323,379,442,709,435,1336,1062,292,222,Tennessee,1403,809,420,358,2816,1316,9779,2444,0,279,Tennessee,7782,2149,939,724,988,728,3557,1287,212,271,Tennessee,166,167,2853,1178,86,144,801770,22650,12238,3322,Tennessee,754,560,80,137,6028,1540,1920,941,667,603,Tennessee,1310,728,133,218
64,Texas,8736,2685,4910,1734,18641,3855,14725,3012,81572,7350,Texas,18848,3336,2884,1035,223,215,1009,432,39872,5162,Texas,16629,3102,8183,2937,2055,931,24132,4535,12553,4052,Texas,3635,1145,11043,2959,5460,2143,118552,9858,355,294,Texas,7915,1988,5868,2028,9942,2468,11371,3180,12692,3065,Texas,11501,2850,1564,905,3558,1887,5724,1681,1308,733,Texas,12099,3477,14989,3626,20436,4132,12326,2699,551,464,Texas,14269,3737,27363,3850,3523,1310,5615,1483,2143,1041,Texas,303,326,6777,2496,2421,1489,7222,2089,3774590,57820,Texas,3439,1293,120,144,16676,3088,10857,2391,1428,687,Texas,4121,1510,2700,1060
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Utah,723,451,605,443,7495,2939,247,220,24994,4030,Utah,3449,1263,597,508,0,255,0,255,2811,1393,Utah,766,512,1109,574,9037,2392,1630,828,1164,1076,Utah,112,132,107,93,1106,640,1226,732,409,548,Utah,413,236,765,490,1642,876,1028,1172,185,297,Utah,1157,779,1242,625,404,351,5898,1912,0,255,Utah,402,402,684,711,1720,1197,703,442,208,290,Utah,1135,699,595,525,4270,1775,1205,668,29,55,Utah,85,140,1454,1158,159,276,1499,1240,6646,1577,Utah,417381,16642,604,663,1784,811,4221,1335,88,129,Utah,781,491,2446,1129
67,Vermont,17,28,0,205,455,470,66,113,554,311,Vermont,943,790,1709,679,0,205,398,484,2282,1373,Vermont,446,400,50,84,18,32,35,73,0,205,Vermont,0,205,0,205,55,63,0,205,1577,1071,Vermont,1389,945,2751,724,224,221,65,107,225,366,Vermont,17,28,88,101,0,205,0,205,2241,756,Vermont,725,423,68,86,4988,1403,185,256,0,205,Vermont,284,299,124,205,245,294,545,330,0,205,Vermont,324,226,68,112,0,205,155,160,629,463,Vermont,58,97,63340,5247,1527,1429,252,257,0,205,Vermont,248,351,51,68
68,Virginia,3379,1083,4116,1557,3286,1501,1061,667,18797,4032,Virginia,3140,1073,4694,1538,993,692,10818,2601,18446,3037,Virginia,7512,2124,3480,2285,811,623,12983,3386,3579,2321,Virginia,374,265,1526,706,3636,1550,6189,2344,1920,1582,Virginia,22403,2833,4795,1588,5832,1715,1505,585,2128,1528,Virginia,2913,1062,447,547,1477,844,496,380,1213,757,Virginia,8100,1935,912,709,21198,3847,27214,3707,270,295,Virginia,6481,1611,2160,1235,1472,975,13933,2787,1247,671,Virginia,1666,1159,9870,2383,193,321,7862,2131,18639,3663,Virginia,1071,690,726,464,941937,23573,4712,1355,5119,1277,Virginia,631,512,38,65
69,Washington,547,350,4161,1658,9879,2837,944,671,53034,6203,Washington,5687,2002,1539,899,112,165,137,163,7442,2298,Washington,3194,1456,4703,1485,11303,3430,7825,2635,2197,1264,Washington,710,509,2373,1267,584,499,2785,1481,456,321,Washington,1950,1246,2139,982,3975,1884,4704,2118,716,407,Washington,2970,1299,3514,1348,576,352,5336,1547,269,353,Washington,1595,822,887,562,6041,2455,3456,1415,1318,1050,Washington,3876,1650,2136,947,28905,4386,1572,686,148,244,Washington,430,299,1495,695,1016,698,894,539,15382,4476,Washington,4929,2269,271,307,6082,2225,1001766,22902,0,267,Washington,1275,915,515,356
70,West Virginia,993,783,817,603,16,27,30,52,1022,698,West Virginia,192,284,323,395,335,316,327,218,3448,1063,West Virginia,1254,722,49,84,30,52,651,455,98,103,West Virginia,0,261,43,72,1785,941,429,372,0,261,West Virginia,5142,1503,150,259,651,286,131,171,672,541,West Virginia,289,383,0,261,0,261,229,302,153,175,West Virginia,1018,469,0,261,1406,695,3185,1058,0,261,West Virginia,9928,2447,524,570,743,665,3559,1273,0,261,West Virginia,0,261,792,538,0,261,993,711,1184,581,West Virginia,57,98,29,50,6846,1875,724,385,177710,9789,West Virginia,43,77,0,261
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Wisconsin,1791,1731,406,498,2331,1003,2285,1580,4365,1329,Wisconsin,2171,990,590,685,0,211,312,252,6447,1959,Wisconsin,1749,1574,24,39,64,87,20852,3273,2012,1106,Wisconsin,2777,938,510,391,653,531,1301,820,304,250,Wisconsin,305,279,924,565,5226,1602,18939,2384,289,279,Wisconsin,2000,752,210,225,285,205,627,393,122,143,Wisconsin,1010,663,173,166,2407,1330,2131,984,736,756,Wisconsin,1983,860,339,294,892,632,1024,427,1125,858,Wisconsin,420,402,732,511,362,294,1097,567,3734,1425,Wisconsin,750,494,62,104,1413,720,1394,528,0,211,Wisconsin,740600,17929,11,19
73,Wyoming,140,160,171,236,916,704,398,325,1200,745,Wyoming,6477,2470,33,70,0,259,98,134,690,573,Wyoming,15,33,0,259,220,369,397,340,349,323,Wyoming,70,116,121,156,0,259,432,518,50,82,Wyoming,379,378,0,259,1005,731,304,309,174,308,Wyoming,348,371,966,602,583,343,810,709,0,259,Wyoming,91,149,726,619,0,259,0,259,52,76,Wyoming,528,472,279,237,671,490,268,423,0,259,Wyoming,0,259,1113,1355,646,410,247,270,3012,1385,Wyoming,1420,743,0,259,127,140,892,670,0,259,Wyoming,935,946,67900,5757
74,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,
