,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 45 through 47.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129
13,Arkansas,2931123,2667,2464189,16201,383087,15050,74741,6045,2145,1468,Arkansas,66,89,782,644,,,5070,1455,1149,633,Arkansas,431,549,0,190,213,253,2611,1286,2013,917,Arkansas,283,374,0,190,3251,1241,405,328,696,587,Arkansas,1491,545,398,307,2844,1558,0,190,64,74,Arkansas,49,83,801,418,846,825,2962,1389,9565,2393,Arkansas,232,301,0,190,229,308,0,190,244,283,Arkansas,778,544,1326,673,335,303,0,190,711,508,Arkansas,8530,2450,254,287,816,533,0,190,543,544,Arkansas,0,190,4534,1516,14398,2887,490,569,0,190,Arkansas,1250,1089,777,610,303,418,822,406,34,64,Arkansas,9106,2535,148,173,241,249,8717,2536
14,California,38340324,10835,32849251,61601,4659084,58901,513968,18847,10439,6281,California,7098,2106,35200,5295,1570,732,,,17500,3349,California,5994,1518,1067,642,4219,1175,25622,3917,8669,2201,California,12753,3016,7303,1959,21441,3100,6680,2020,3618,1093,California,6836,2633,3217,1411,4884,2192,761,370,6996,1822,California,10750,2035,11601,2666,9449,1832,2336,827,7638,2121,California,2862,1561,3143,3164,29985,5544,1119,709,12884,3131,California,4744,1485,34201,4144,12550,2488,1112,649,8267,1902,California,6511,1767,21028,3448,14858,3233,817,427,3925,1194,California,2964,2532,5620,1791,38990,4867,14273,3942,1041,598,California,17847,2749,32837,4920,897,963,6451,2007,1401,705,California,318021,12211,4317,1748,1752,1097,311952,11956
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Colorado,5293943,3847,4263998,25609,777699,21108,218728,12727,1004,584,Colorado,2696,1588,12304,2860,1956,849,24506,3585,,,Colorado,832,561,254,291,1323,922,9304,2460,5057,1581,Colorado,2943,1219,1365,812,9081,2519,3940,1477,4707,1764,Colorado,4780,2163,1004,594,2066,1273,194,164,3091,1692,Colorado,2565,1080,2858,1389,3673,1063,777,586,4900,1560,Colorado,2733,1212,2896,950,3945,2003,369,296,2212,1325,Colorado,7069,1515,9519,2855,4974,1810,1059,650,4419,1697,Colorado,6811,2272,2064,847,4244,1644,0,192,1590,734,Colorado,1570,754,2297,1171,24431,4180,2926,1010,720,394,Colorado,7328,2550,8768,2426,110,153,4068,1470,5426,1852,Colorado,33518,4790,342,385,765,864,32411,4654
17,Connecticut,3558915,2621,3111779,13932,334207,11288,82746,8190,275,255,Connecticut,2294,1690,269,274,0,197,3683,1139,464,296,Connecticut,,,282,234,212,188,6450,1483,2232,1207,Connecticut,662,773,0,197,2059,1172,177,167,104,149,Connecticut,0,197,636,809,150,150,1898,1678,1825,698,Connecticut,8381,2591,28,66,858,598,66,110,844,602,Connecticut,0,197,0,197,541,548,1296,975,5473,1356,Connecticut,0,197,21431,4213,1368,547,0,197,1064,821,Connecticut,260,347,555,327,3872,1254,4771,2275,457,286,Connecticut,93,150,1325,1087,1696,930,241,257,825,523,Connecticut,2847,1631,699,474,0,197,83,115,0,197,Connecticut,30183,4320,4210,2202,82,121,25891,4203
18,Delaware,924770,1262,810905,7547,77246,6680,32166,3413,46,76,Delaware,462,758,269,255,0,185,160,189,95,157,Delaware,954,1013,,,358,276,752,420,1455,1141,Delaware,0,185,0,185,88,100,0,185,0,185,Delaware,0,185,105,175,0,185,14,24,6777,1365,Delaware,1050,618,159,224,484,439,0,185,477,579,Delaware,0,185,54,89,29,47,483,537,4366,1157,Delaware,58,68,3673,1925,1036,777,0,185,148,144,Delaware,224,357,7,12,5670,1465,32,73,418,343,Delaware,0,185,277,446,737,552,0,185,0,185,Delaware,806,386,124,174,176,201,143,240,0,185,Delaware,4453,1284,272,306,0,185,4181,1250
19,District of Columbia ,648586,1757,513634,7913,67286,5744,56234,4603,251,232,District of Columbia ,92,110,186,206,106,172,5206,1239,476,259,District of Columbia ,1336,599,290,273,,,1745,681,445,285,District of Columbia ,283,377,229,241,1768,846,525,343,96,153,District of Columbia ,133,145,375,348,689,493,167,185,13606,2527,District of Columbia ,1575,659,334,236,414,283,71,118,195,181,District of Columbia ,84,137,111,93,593,817,154,159,2075,662,District of Columbia ,76,104,3562,1035,1670,629,44,73,286,205,District of Columbia ,78,130,130,153,2311,798,125,171,389,253,District of Columbia ,0,198,429,307,1311,609,445,414,0,198,District of Columbia ,9920,1665,1089,826,213,167,291,234,255,400,District of Columbia ,11432,2238,39,66,148,152,11245,2226
20,Florida,19683763,7910,16504838,45685,2436619,41459,546501,21034,15731,4507,Florida,7883,2832,7902,2112,1911,1189,23239,4563,9260,3005,Florida,12944,3111,1401,864,1897,1633,,,42020,5617,Florida,2180,1070,915,565,25095,4174,10599,2721,3728,1433,Florida,2879,942,6237,1472,5179,2444,4293,1418,15850,3397,Florida,15606,3007,23791,4458,5399,1599,5623,2001,8481,1859,Florida,161,161,1785,1199,4024,1291,4248,1497,24425,3109,Florida,1336,873,58753,6808,25333,4128,730,520,27438,4331,Florida,5296,1951,2797,1096,28841,4324,3816,1561,11346,2435,Florida,693,620,13711,2536,25175,3870,2926,1289,2319,971,Florida,25342,3986,4510,1762,3313,1697,7735,2217,405,354,Florida,195805,13262,27596,4710,4398,2127,163811,11519
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Georgia,9970167,6089,8406436,36778,1238139,35517,274095,15049,18778,3003,Georgia,3804,2038,6629,3196,1793,1376,13978,3375,5629,2421,Georgia,3248,1329,1542,1617,582,481,45495,6056,,,Georgia,1528,1343,532,372,4550,1243,2938,1000,332,249,Georgia,3031,1348,3962,1577,3608,1539,752,532,5247,1877,Georgia,4290,1850,7618,2911,1288,532,4589,2416,2149,1213,Georgia,189,192,1033,1027,2218,1160,216,197,4249,1379,Georgia,1586,1058,14399,3053,14421,3199,495,448,5675,2294,Georgia,1414,577,571,540,7914,2794,427,342,17776,4763,Georgia,452,385,14797,3574,17311,4702,882,610,206,206,Georgia,10491,2507,4161,1854,1487,1064,3473,2052,360,481,Georgia,51497,5340,1315,843,227,283,49955,5363
23,Hawaii,1401004,1966,1198766,10297,131974,8488,58144,5069,510,375,Hawaii,1049,561,3126,1414,0,181,12186,2507,2286,1193,Hawaii,507,384,0,181,900,1320,3235,1931,2876,1396,Hawaii,,,286,316,939,506,1769,1139,475,616,Hawaii,321,301,181,175,526,498,450,684,1061,692,Hawaii,160,140,944,714,60,86,370,431,366,245,Hawaii,125,183,268,368,1671,811,0,181,593,363,Hawaii,205,237,1992,813,1323,761,0,181,504,338,Hawaii,575,544,1063,505,682,572,159,183,681,460,Hawaii,0,181,1076,930,3834,1379,542,341,0,181,Hawaii,3137,1255,4513,1294,0,181,591,459,27,61,Hawaii,12120,1939,262,269,971,508,10887,1843
24,Idaho,1613068,2061,1335689,14615,207055,13624,64633,6253,166,243,Idaho,2966,1913,3506,1449,110,130,10057,2632,2341,1143,Idaho,37,67,37,55,0,190,377,308,162,179,Idaho,816,902,,,1747,1068,251,307,343,387,Idaho,732,569,31,65,125,135,38,53,239,273,Idaho,41,51,415,423,467,235,141,104,710,731,Idaho,3531,1340,120,197,2110,881,0,190,66,75,Idaho,294,235,463,421,1004,680,121,159,64,105,Idaho,1011,1236,4371,1966,359,412,0,190,512,762,Idaho,409,455,1361,1027,2598,1024,5725,2411,529,822,Idaho,572,556,11461,2813,0,190,548,486,1549,871,Idaho,5691,1235,90,151,0,190,5601,1230
25,Illinois,12730206,5665,11021611,32616,1430902,30345,209536,11110,1566,763,Illinois,3205,1388,2834,924,1234,680,15669,2311,4066,1340,Illinois,1386,934,434,501,1138,534,14350,2619,4394,1500,Illinois,765,489,795,573,,,19221,3823,6471,1298,Illinois,2624,1066,2403,761,2429,1180,1040,1105,2313,972,Illinois,4491,1687,11653,2498,3934,1402,2181,1064,15333,2816,Illinois,1186,814,527,373,2284,1138,24,40,2996,1396,Illinois,532,306,9781,2235,5079,2054,572,566,8414,1832,Illinois,2739,1359,1132,657,6053,1554,50,82,1857,1029,Illinois,117,190,4872,1664,12270,2606,613,470,355,317,Illinois,3669,1256,3065,1020,177,167,15053,2914,190,202,Illinois,68157,6190,1185,586,435,365,66537,6184
26,Indiana,6516181,4079,5540754,26629,810518,23716,139846,8352,1229,429,Indiana,295,299,3894,1979,873,693,6372,1952,1799,1029,Indiana,837,767,62,87,86,105,8690,2293,2592,1063,Indiana,843,611,146,148,38177,5406,,,2162,1071,Indiana,868,562,9486,1752,937,734,62,101,2271,1527,Indiana,1402,654,9876,2243,834,541,530,469,1754,702,Indiana,246,302,216,191,1297,1063,921,658,1116,661,Indiana,331,376,1825,792,3332,1185,214,242,11584,2317,Indiana,611,468,831,385,2000,923,265,249,1115,834,Indiana,598,865,3844,1260,5011,1420,671,620,217,308,Indiana,1687,782,1909,1122,30,44,3283,1252,615,757,Indiana,25063,3166,77,128,0,187,24986,3181
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Iowa,3067872,2609,2594781,13916,379518,12526,79194,6405,641,588,Iowa,906,515,2644,1499,957,524,3352,1686,2461,873,Iowa,520,482,380,415,79,130,1811,677,1067,557,Iowa,274,265,175,146,13612,2331,3293,1618,,,Iowa,1119,561,190,190,170,165,0,155,389,593,Iowa,439,405,1813,924,8933,1913,563,506,3247,1031,Iowa,29,43,8602,1789,258,216,24,45,367,283,Iowa,607,401,943,593,732,477,500,275,805,678,Iowa,618,524,676,567,2240,1615,0,155,243,204,Iowa,1989,876,112,128,5164,1586,505,309,113,136,Iowa,1015,505,1287,769,161,247,2871,885,298,274,Iowa,14379,3114,0,155,0,155,14379,3114
29,Kansas,2866584,2600,2378716,16745,376239,15266,96467,7973,830,632,Kansas,1478,916,2115,933,906,651,6381,1991,3350,1395,Kansas,503,547,0,168,0,168,4457,1917,485,324,Kansas,460,531,90,134,2618,1327,308,237,1280,685,Kansas,,,923,1039,1947,943,103,82,0,168,Kansas,550,470,1955,1270,1599,835,280,245,22240,3443,Kansas,604,465,2637,796,2101,1510,0,168,1730,1066,Kansas,609,401,1118,665,2053,1102,497,416,1807,1151,Kansas,6031,1826,511,309,606,367,0,168,83,84,Kansas,201,233,954,563,11255,2988,732,829,0,168,Kansas,4563,2933,2632,1692,139,112,440,401,306,293,Kansas,15162,2856,113,216,0,168,15049,2866
30,Kentucky,4357819,2944,3663490,18486,575429,18272,104975,7798,1409,504,Kentucky,623,585,1443,1008,703,489,3709,1062,2376,1744,Kentucky,259,260,139,227,348,249,6905,1729,4392,1677,Kentucky,423,443,473,555,5478,1586,12431,2459,1043,1051,Kentucky,913,666,,,1251,702,155,217,1168,637,Kentucky,390,443,2612,788,640,556,571,521,2490,1908,Kentucky,0,185,525,494,665,565,69,70,757,698,Kentucky,74,132,2414,1259,3965,1357,0,185,16715,2934,Kentucky,1012,640,375,347,1952,666,0,185,335,304,Kentucky,482,525,11393,2447,5568,1892,155,250,144,156,Kentucky,1779,650,1547,690,2220,933,194,200,291,290,Kentucky,13925,2546,84,155,0,185,13841,2544
31,Louisiana,4593505,3584,3970442,20735,511702,18953,97814,7800,4808,1887,Louisiana,890,587,967,531,2293,813,4079,1050,2540,1253,Louisiana,716,536,122,134,383,286,7182,2790,6384,2013,Louisiana,1186,1018,0,201,1961,1250,150,185,0,201,Louisiana,1013,495,1734,901,,,0,201,1013,689,Louisiana,1484,993,1372,672,404,475,7926,2600,2971,1534,Louisiana,396,313,314,449,1001,772,291,315,543,572,Louisiana,301,322,2061,1069,3185,1590,167,272,2303,1345,Louisiana,2385,1303,646,746,585,342,123,106,911,433,Louisiana,365,384,2479,1033,21516,3251,445,370,0,201,Louisiana,3433,1690,1518,1107,369,393,648,439,251,370,Louisiana,13547,2624,60,75,131,135,13356,2660
32,Maine,1317638,1582,1138397,9455,134611,8431,39065,4220,0,159,Maine,0,159,612,516,0,159,2063,1141,546,374,Maine,1470,658,324,328,154,173,2694,1009,169,184,Maine,0,159,67,107,829,620,116,136,198,294,Maine,161,255,269,371,1014,780,,,365,246,Maine,6232,1679,268,164,237,219,0,159,383,463,Maine,64,75,0,159,418,356,4100,1300,941,526,Maine,923,648,3505,1326,781,492,30,48,304,284,Maine,242,288,0,159,2269,1082,438,333,240,168,Maine,63,109,15,35,2219,1424,854,1082,1086,814,Maine,752,493,832,550,17,28,720,642,81,85,Maine,5565,1464,0,159,0,159,5565,1464
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Maryland,5911235,3586,5091903,22914,615601,20033,156787,9338,770,455,Maryland,657,528,2018,1551,500,452,7073,1898,1834,896,Maryland,1784,867,4790,1569,17421,2899,8637,2248,6667,1791,Maryland,2157,1302,78,135,2076,784,1057,595,476,366,Maryland,128,162,804,702,1343,1014,332,417,,,Maryland,4088,1412,2437,1085,688,558,294,316,1117,945,Maryland,39,63,206,263,521,396,644,518,7384,1735,Maryland,388,337,14661,3623,8842,2300,140,231,2948,919,Maryland,335,227,392,417,13633,2496,865,611,2576,826,Maryland,0,193,787,374,5285,1625,977,560,301,403,Maryland,21822,3543,1244,725,2598,1031,754,462,219,205,Maryland,46944,5391,1154,1192,51,87,45739,5219
