,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 45 through 47.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129
10,Alabama,4729509,3716,3987155,21708,620465,21448,108723,8781,,,Alabama,3013,1452,676,606,1481,1038,3827,1660,1278,778,Alabama,454,694,811,694,211,186,15062,3138,21644,3955,Alabama,267,440,304,399,2503,1224,3945,1979,669,882,Alabama,649,516,1967,1192,1901,868,97,158,716,458,Alabama,435,396,2334,1294,386,358,7233,2367,1373,1180,Alabama,229,182,169,286,265,297,0,273,356,285,Alabama,650,749,3686,2920,2371,945,169,213,2222,931,Alabama,880,609,485,435,1477,696,0,273,2368,1142,Alabama,31,62,7409,1926,6500,2016,1336,1129,0,273,Alabama,2490,1026,1171,756,41,73,1155,895,27,52,Alabama,13166,2247,228,265,181,160,12757,2241
11,Alaska,702974,1600,565031,7596,95878,7984,36326,3708,477,790,Alaska,,,1354,805,47,78,3906,1041,1930,866,Alaska,0,246,0,246,14,23,2315,1026,1251,902,Alaska,1705,1289,895,524,388,293,9,24,262,349,Alaska,106,107,1440,1506,100,171,574,655,704,460,Alaska,107,183,923,814,530,409,263,386,0,246,Alaska,616,507,215,259,240,247,316,368,413,501,Alaska,421,446,255,206,698,587,69,89,156,213,Alaska,1455,971,1793,1104,126,164,0,246,121,153,Alaska,531,817,477,341,4123,1774,1274,926,353,429,Alaska,714,681,2421,790,0,246,158,198,81,131,Alaska,5739,1602,19,30,1374,1188,4346,1205
12,Arizona,6332786,4439,5069002,35057,1001991,32027,222725,11873,416,305,Arizona,3109,1297,,,689,415,47164,6018,7687,2494,Arizona,479,386,738,774,0,305,7712,2149,4261,1828,Arizona,1966,928,2147,984,12250,3263,2690,1358,3008,1405,Arizona,1935,1008,1705,928,2014,1697,241,308,1284,1052,Arizona,1449,975,6354,1796,5421,1542,272,238,4567,1621,Arizona,1343,1038,1750,1130,10342,3881,64,105,1782,762,Arizona,4419,1430,6618,2661,4463,1627,826,612,5225,1513,Arizona,2910,1310,5430,1887,5535,2842,403,336,2310,1189,Arizona,1351,843,3061,1643,14705,3301,7164,3154,664,498,Arizona,3413,1613,12645,2459,595,563,5556,1827,593,393,Arizona,39068,6046,599,771,223,286,38246,5951
13,Arkansas,2888304,2453,2387806,18627,412997,17485,79127,7901,1405,1001,Arkansas,934,798,777,557,,,4457,1991,2535,1149,Arkansas,451,315,0,273,154,264,3578,1239,3921,2077,Arkansas,129,166,618,754,3221,1474,722,498,85,143,Arkansas,3611,1704,2540,1895,4012,1625,0,273,306,254,Arkansas,190,196,1506,674,222,153,2764,1337,7320,2181,Arkansas,85,159,394,538,67,104,0,273,77,130,Arkansas,0,273,289,336,1561,900,0,273,1137,811,Arkansas,8607,3434,239,174,731,570,0,273,1496,983,Arkansas,243,264,2653,1121,13707,2911,361,322,0,273,Arkansas,494,382,264,228,0,273,821,503,443,513,Arkansas,8374,2099,87,146,0,273,8287,2123
14,California,36907897,10889,30790221,71574,5413287,66460,444749,18415,3364,1977,California,9579,2911,33854,4816,4172,1340,,,15662,3236,California,4631,1802,643,408,3683,1306,20362,4008,8820,2545,California,9528,2191,5719,1572,16482,2806,6550,1860,3163,1259,California,3857,1813,3394,1797,2989,1207,1796,1139,10626,2848,California,11969,2774,10435,2487,5095,1319,2757,1338,6921,2357,California,3009,1511,3062,1860,27724,4878,1614,1059,10108,2848,California,4632,1266,20981,2977,9593,2005,392,343,8170,2399,California,5708,1591,20913,3580,9948,1991,526,264,5016,2183,California,1604,1117,4349,1174,36582,5299,10653,2235,525,369,California,14232,2597,30544,4481,1446,919,6031,2181,1336,664,California,259640,13144,1223,1128,5123,2453,253294,13154
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Colorado,4988190,3936,4042039,25546,725413,23003,186366,9897,954,803,Colorado,2225,1220,12287,2324,1034,739,26089,4183,,,Colorado,459,360,486,486,479,381,8849,2300,6445,2553,Colorado,2355,1220,839,572,6950,1968,3296,1584,2140,1179,Colorado,4308,1577,1961,1194,968,664,532,385,1532,978,Colorado,2242,778,4587,1679,2878,1093,1277,883,1978,803,Colorado,2042,1490,4065,1455,4131,1784,791,521,1259,537,Colorado,3921,1326,4594,1518,2940,1376,802,598,2838,1325,Colorado,3464,1440,4330,1962,3928,1124,192,248,1231,796,Colorado,1847,826,1628,706,22253,4494,4748,1658,350,246,Colorado,2739,1077,7583,3004,623,493,2499,1153,4418,1439,Colorado,34372,4253,874,880,125,181,33373,4235
17,Connecticut,3541146,2779,3100742,16358,342904,15404,77333,6651,896,891,Connecticut,0,281,664,484,334,517,4479,1653,547,487,Connecticut,,,149,227,331,343,9207,2532,748,467,Connecticut,182,171,147,130,3391,1847,1074,798,108,131,Connecticut,0,281,400,430,0,281,528,447,1531,814,Connecticut,8510,2107,770,486,934,659,67,111,42,68,Connecticut,0,281,0,281,507,424,1049,628,3475,1175,Connecticut,112,189,20727,3325,1345,587,0,281,1296,710,Connecticut,145,171,640,592,1955,808,1728,796,1140,627,Connecticut,0,281,430,389,1887,1100,0,281,458,419,Connecticut,1735,691,2084,1631,442,674,1092,1321,47,78,Connecticut,20167,2860,2027,1233,0,281,18140,2685
18,Delaware,889812,1573,764640,9145,90001,8498,30759,4030,128,211,Delaware,68,111,60,78,0,265,353,290,178,249,Delaware,714,693,,,432,467,2362,996,585,575,Delaware,0,265,0,265,612,583,0,265,0,265,Delaware,28,47,163,273,0,265,294,406,4969,1144,Delaware,689,538,61,102,55,92,0,265,539,842,Delaware,73,120,0,265,106,183,139,246,3678,935,Delaware,59,98,4251,1555,424,466,0,265,325,339,Delaware,0,265,0,265,7318,2368,149,241,195,272,Delaware,0,265,146,248,178,313,0,265,0,265,Delaware,1051,538,377,280,0,265,0,265,0,265,Delaware,4412,1791,954,1095,431,400,3027,1274
19,District of Columbia ,596747,1124,474676,8281,63766,6163,51244,4828,360,418,District of Columbia ,591,529,662,466,155,195,4205,1255,656,637,District of Columbia ,926,592,0,292,,,1100,609,1597,795,District of Columbia ,0,292,0,292,615,373,711,461,392,377,District of Columbia ,83,137,94,155,0,292,76,121,13503,2647,District of Columbia ,1376,540,126,153,87,105,0,292,272,371,District of Columbia ,0,292,62,103,0,292,137,136,1924,694,District of Columbia ,61,100,3852,1325,1897,1089,98,165,598,359,District of Columbia ,0,292,601,520,2378,771,249,206,380,339,District of Columbia ,0,292,591,543,1180,605,0,292,199,245,District of Columbia ,7915,1638,284,220,860,754,391,325,0,292,District of Columbia ,7061,1472,0,292,62,103,6999,1448
20,Florida,18647600,7733,15554008,45602,2459530,38387,482889,22701,15830,3829,Florida,5887,2502,3907,1463,3611,1562,22130,3867,6428,1941,Florida,11183,2730,3099,1603,1110,564,,,35615,5500,Florida,2021,990,884,747,17432,3007,9030,2849,2921,1091,Florida,4136,2062,6321,1902,7232,2781,5497,1861,13241,2929,Florida,13900,2269,21359,4622,5439,2349,7929,3596,7984,2232,Florida,338,289,1544,1314,7050,3281,3645,1193,22344,3256,Florida,900,872,55011,6848,19108,3464,794,720,21047,3825,Florida,3466,1518,1655,1187,19935,3976,1982,813,10759,2906,Florida,430,473,12882,2482,24039,5038,2833,1249,1442,935,Florida,20080,4137,3573,1239,5634,2872,8081,2929,191,258,Florida,151173,10799,12968,4149,1131,800,137074,9549
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Georgia,9587237,5924,8015409,37393,1278548,36794,249459,15858,13840,2473,Georgia,3645,1932,2554,1303,599,436,8909,2412,3224,2058,Georgia,2619,1473,837,753,1708,1278,49901,5558,,,Georgia,1040,658,414,478,9736,3665,2649,1023,1096,821,Georgia,1355,1097,6525,2248,3645,1604,0,300,5382,1767,Georgia,3910,2127,6857,1831,1169,718,2380,959,3072,1087,Georgia,52,92,148,139,1155,684,162,161,4151,1203,Georgia,826,509,12472,2568,15361,3426,0,300,9323,2446,Georgia,2070,1458,843,626,6294,1914,43,70,15562,3592,Georgia,557,540,14445,3273,11424,2574,380,291,361,458,Georgia,8393,2087,4495,2034,358,295,3416,2022,102,118,Georgia,43821,5631,1010,742,376,365,42435,5734
23,Hawaii,1346274,1690,1140572,10422,134315,9295,53581,6065,749,542,Hawaii,743,609,1398,849,0,275,12677,2325,1073,667,Hawaii,307,392,0,275,0,275,4599,2610,2013,1185,Hawaii,,,42,70,715,412,192,209,68,118,Hawaii,387,345,95,159,88,151,89,145,990,737,Hawaii,1283,944,627,548,476,350,234,368,170,171,Hawaii,150,261,0,275,1925,1184,496,685,443,417,Hawaii,11,19,1339,794,1510,994,69,116,625,515,Hawaii,57,94,1834,958,553,478,644,829,322,378,Hawaii,267,380,142,205,6694,2760,467,369,0,275,Hawaii,2644,1136,2705,883,483,782,1168,1133,18,33,Hawaii,17806,4654,0,275,805,581,17001,4673
24,Idaho,1550967,1954,1279856,12606,209272,10887,55638,6079,376,369,Idaho,3264,1813,3086,2015,45,73,8932,2415,1372,867,Idaho,0,267,0,267,144,233,612,508,313,280,Idaho,123,206,,,169,236,132,133,773,470,Idaho,422,415,315,272,59,102,202,272,44,73,Idaho,115,135,427,363,465,613,37,61,425,345,Idaho,1509,584,0,267,2110,1061,109,147,97,148,Idaho,694,811,155,169,134,164,96,112,325,261,Idaho,711,702,3202,1259,172,206,0,267,0,267,Idaho,296,375,1153,995,1746,951,8014,2403,0,267,Idaho,611,662,10876,2438,133,158,233,292,1410,723,Idaho,6201,1618,233,374,36,62,5932,1578
25,Illinois,12680126,5467,11009852,32636,1404525,28126,203959,11573,1397,596,Illinois,1764,1078,5921,1897,1194,665,16205,3236,3850,1360,Illinois,2264,1125,56,57,1047,581,8051,1715,6781,2524,Illinois,1224,776,313,258,,,21918,4147,9141,1866,Illinois,1970,991,2921,831,1419,687,55,93,1985,1210,Illinois,2811,1111,11865,2138,4300,1815,1093,861,16703,3325,Illinois,928,937,546,373,2541,1214,206,202,2331,1262,Illinois,996,709,8479,2555,5504,2479,1112,788,5103,1201,Illinois,1459,777,1224,789,5190,1822,838,643,1565,787,Illinois,292,264,3999,1131,12245,3113,658,427,260,257,Illinois,3831,1241,1642,707,812,523,15364,2866,586,432,Illinois,61790,4951,2055,820,0,267,59735,4897
26,Indiana,6414862,4257,5431015,24897,833086,22796,127353,8463,1502,1110,Indiana,177,143,2210,914,1548,1104,8959,2863,1362,658,Indiana,544,404,0,267,181,156,5496,1564,1623,913,Indiana,267,316,772,604,27950,4658,,,1885,1191,Indiana,1582,996,10643,2402,749,599,30,50,1641,950,Indiana,103,135,9361,1837,916,385,270,255,3893,2531,Indiana,164,201,705,654,227,239,114,134,1876,1526,Indiana,188,229,2564,952,2828,1141,0,267,13272,2750,Indiana,681,563,423,380,2668,1128,174,284,584,405,Indiana,216,258,3093,1261,6335,1643,444,432,45,73,Indiana,3673,1633,571,340,669,562,1762,893,413,403,Indiana,23408,3198,572,457,75,124,22761,3113
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Iowa,3013053,2381,2553210,15158,375650,12448,72557,5707,330,202,Iowa,519,407,1483,623,247,190,2847,1227,2554,865,Iowa,114,155,0,228,53,85,1364,573,973,472,Iowa,866,651,315,415,17016,2840,1710,917,,,Iowa,1520,741,334,377,315,384,0,228,134,156,Iowa,189,175,1439,652,7564,1722,117,138,6031,2253,Iowa,836,743,4783,1799,623,371,381,531,472,405,Iowa,492,490,273,270,1123,744,601,617,632,421,Iowa,679,491,1071,568,378,242,0,228,591,442,Iowa,1992,980,1617,1222,4131,1470,146,156,45,81,Iowa,303,329,538,365,0,228,2705,1206,111,119,Iowa,11636,2469,149,176,0,228,11487,2434
29,Kansas,2820894,2731,2341401,17752,372161,15608,95059,7804,44,75,Kansas,1050,697,2238,878,1596,1073,6125,1459,6022,2519,Kansas,85,140,238,275,0,248,2863,1848,1916,1039,Kansas,128,154,398,407,2943,1096,1544,859,1875,1184,Kansas,,,1048,1402,890,580,0,248,1369,1103,Kansas,100,120,806,457,1562,1147,167,146,23384,3524,Kansas,289,318,2678,875,1318,1245,76,130,1743,1236,Kansas,873,580,2390,1235,1083,649,225,373,1509,1127,Kansas,7568,2302,514,610,563,537,39,79,137,211,Kansas,352,227,1152,821,9217,2824,238,298,75,126,Kansas,1648,934,1175,792,0,248,1233,898,573,531,Kansas,12273,2344,68,88,90,105,12115,2355
30,Kentucky,4296639,3389,3638259,20337,519887,18955,118443,8947,2161,871,Kentucky,3017,2024,2598,1483,558,547,3779,1387,329,363,Kentucky,698,710,38,64,147,210,10119,2893,6397,2093,Kentucky,520,520,71,119,4659,1887,11906,2334,656,788,Kentucky,1109,1031,,,437,435,0,271,1395,995,Kentucky,1036,738,4672,1897,930,781,1442,917,3153,1147,Kentucky,0,271,858,809,76,129,0,271,1147,807,Kentucky,122,189,2057,1057,3758,1216,0,271,15598,2549,Kentucky,1153,900,181,220,2618,1480,289,381,1286,741,Kentucky,163,262,11153,3003,5758,1631,905,721,525,515,Kentucky,3671,1981,716,599,2297,1276,1993,1413,292,462,Kentucky,20050,4259,179,240,0,271,19871,4253
31,Louisiana,4483529,3720,3826390,25103,547291,22645,97889,8319,5740,2537,Louisiana,1504,922,1960,1204,2382,1114,5751,1933,1215,567,Louisiana,89,120,0,281,264,228,9394,2799,5766,1868,Louisiana,342,502,202,205,2131,1394,948,651,625,656,Louisiana,706,483,1656,1093,,,162,269,963,699,Louisiana,995,702,1301,886,569,513,7032,2217,2852,1534,Louisiana,40,72,119,193,1552,785,462,427,171,249,Louisiana,294,256,2161,822,1443,686,438,514,1100,774,Louisiana,1074,675,281,277,1350,747,0,281,1130,706,Louisiana,0,281,1853,621,26134,3903,473,380,0,281,Louisiana,1278,733,1509,1126,210,254,237,229,31,67,Louisiana,11959,1983,402,285,116,136,11441,1979
32,Maine,1313902,1878,1136780,8034,146735,7677,27758,3059,402,311,Maine,424,439,254,290,67,112,1066,740,478,377,Maine,1361,689,174,229,55,89,3025,924,844,817,Maine,62,102,0,230,311,251,259,379,337,561,Maine,56,92,484,643,115,211,,,243,223,Maine,3521,958,122,133,91,109,0,230,201,260,Maine,275,335,204,283,345,344,4058,1966,902,508,Maine,234,298,2339,962,1001,1161,55,89,315,362,Maine,124,215,0,230,375,287,379,284,148,160,Maine,0,230,249,231,458,327,390,427,420,368,Maine,654,307,381,533,0,230,0,230,500,766,Maine,2629,718,204,355,0,230,2425,669
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Maryland,5716785,3648,4917637,22981,588879,20180,164484,9180,1641,1004,Maryland,2672,1268,1124,770,273,418,8206,2230,2501,1523,Maryland,1603,798,8340,3099,23202,3764,6564,1906,3454,1271,Maryland,422,439,357,415,3300,1310,431,330,160,190,Maryland,781,822,396,362,1376,695,53,96,,,Maryland,1983,730,3572,1269,820,543,403,383,1147,633,Maryland,86,106,54,88,979,800,1369,1276,9058,2330,Maryland,238,287,10736,2103,5787,2059,0,289,3277,1497,Maryland,607,541,723,654,13467,3147,782,626,1710,852,Maryland,49,81,2669,1332,5883,1511,655,451,350,328,Maryland,24765,4735,1542,1004,4363,1701,324,241,230,299,Maryland,45785,5856,612,678,269,206,44904,5795
